country,continent,is_nato,kpi_name,kpi_value
Uzbekistan,Other,0,power_index_rank_gap,52.0
United Arab Emirates,Other,0,power_index_rank_gap,53.0
Czechia,Other,1,power_index_rank_gap,54.0
Morocco,Other,0,power_index_rank_gap,55.0
Hungary,Other,1,power_index_rank_gap,56.0
Kazakhstan,Other,0,power_index_rank_gap,57.0
Angola,Other,0,power_index_rank_gap,58.0
Azerbaijan,Other,0,power_index_rank_gap,59.0
Belgium,Other,1,power_index_rank_gap,60.0
Bulgaria,Other,1,power_index_rank_gap,61.0
Serbia,Other,0,power_index_rank_gap,62.0
Democratic Republic of the Congo,Other,0,power_index_rank_gap,63.0
Cuba,Other,0,power_index_rank_gap,64.0
Sudan,Other,0,power_index_rank_gap,65.0
Austria,Other,0,power_index_rank_gap,66.0
Sri Lanka,Other,0,power_index_rank_gap,67.0
Slovakia,Other,1,power_index_rank_gap,68.0
Belarus,Other,0,power_index_rank_gap,69.0
Qatar,Other,0,power_index_rank_gap,70.0
Ecuador,Other,0,power_index_rank_gap,71.0
Croatia,Other,1,power_index_rank_gap,72.0
Jordan,Other,0,power_index_rank_gap,73.0
Bahrain,Other,0,power_index_rank_gap,74.0
Kuwait,Other,0,power_index_rank_gap,75.0
Albania,Other,1,power_index_rank_gap,76.0
Turkmenistan,Other,0,power_index_rank_gap,77.0
Tunisia,Other,0,power_index_rank_gap,78.0
Libya,Other,0,power_index_rank_gap,79.0
Paraguay,Other,0,power_index_rank_gap,80.0
Bolivia,Other,0,power_index_rank_gap,81.0
Cambodia,Other,0,power_index_rank_gap,82.0
Kenya,Other,0,power_index_rank_gap,83.0
Chad,Other,0,power_index_rank_gap,84.0
Oman,Other,0,power_index_rank_gap,85.0
Syria,Other,0,power_index_rank_gap,86.0
Lithuania,Other,1,power_index_rank_gap,87.0
Tanzania,Other,0,power_index_rank_gap,88.0
New Zealand,Other,0,power_index_rank_gap,89.0
Slovenia,Other,1,power_index_rank_gap,90.0
Mozambique,Other,0,power_index_rank_gap,91.0
Mongolia,Other,0,power_index_rank_gap,92.0
Ireland,Other,0,power_index_rank_gap,93.0
Georgia,Other,0,power_index_rank_gap,94.0
Guatemala,Other,0,power_index_rank_gap,95.0
Uruguay,Other,0,power_index_rank_gap,96.0
Yemen,Other,0,power_index_rank_gap,97.0
Cameroon,Other,0,power_index_rank_gap,98.0
Tajikistan,Other,0,power_index_rank_gap,99.0
Armenia,Other,0,power_index_rank_gap,100.0
Latvia,Other,1,power_index_rank_gap,101.0
Honduras,Other,0,power_index_rank_gap,102.0
Mali,Other,0,power_index_rank_gap,103.0
Zimbabwe,Other,0,power_index_rank_gap,104.0
Estonia,Other,1,power_index_rank_gap,105.0
Uganda,Other,0,power_index_rank_gap,106.0
Ivory Coast,Other,0,power_index_rank_gap,107.0
Kyrgyzstan,Other,0,power_index_rank_gap,108.0
Luxembourg,Other,1,power_index_rank_gap,109.0
Zambia,Other,0,power_index_rank_gap,110.0
Ghana,Other,0,power_index_rank_gap,111.0
South Sudan,Other,0,power_index_rank_gap,112.0
North Macedonia,Other,1,power_index_rank_gap,113.0
Dominican Republic,Other,0,power_index_rank_gap,114.0
Nicaragua,Other,0,power_index_rank_gap,115.0
Republic of the Congo,Other,0,power_index_rank_gap,116.0
Lebanon,Other,0,power_index_rank_gap,117.0
Eritrea,Other,0,power_index_rank_gap,118.0
Niger,Other,0,power_index_rank_gap,119.0
Afghanistan,Other,0,power_index_rank_gap,120.0
Namibia,Other,0,power_index_rank_gap,121.0
Mauritania,Other,0,power_index_rank_gap,122.0
Nepal,Other,0,power_index_rank_gap,123.0
Laos,Other,0,power_index_rank_gap,124.0
Senegal,Other,0,power_index_rank_gap,125.0
Burkina Faso,Other,0,power_index_rank_gap,126.0
Montenegro,Other,1,power_index_rank_gap,127.0
El Salvador,Other,0,power_index_rank_gap,128.0
Botswana,Other,0,power_index_rank_gap,129.0
Madagascar,Other,0,power_index_rank_gap,130.0
Gabon,Other,0,power_index_rank_gap,131.0
Bosnia and Herzegovina,Other,0,power_index_rank_gap,132.0
Iceland,Other,1,power_index_rank_gap,133.0
Panama,Other,0,power_index_rank_gap,134.0
Moldova,Other,0,power_index_rank_gap,135.0
Somalia,Other,0,power_index_rank_gap,136.0
Benin,Other,0,power_index_rank_gap,137.0
Kosovo,Other,0,power_index_rank_gap,138.0
Sierra Leone,Other,0,power_index_rank_gap,139.0
Liberia,Other,0,power_index_rank_gap,140.0
Suriname,Other,0,power_index_rank_gap,141.0
Central African Republic,Other,0,power_index_rank_gap,142.0
Beliz,Other,0,power_index_rank_gap,143.0
Bhutan,Other,0,power_index_rank_gap,144.0
United States,North America,1,budget_per_capita,2431.546710986107
Russia,Europe,0,budget_per_capita,1509.991825781999
China,Asia,0,budget_per_capita,214.1277276983905
India,Asia,0,budget_per_capita,77.35278633564533
South Korea,Other,0,budget_per_capita,860.1853403719791
France,Europe,1,budget_per_capita,983.2950225618168
Japan,Asia,0,budget_per_capita,470.7717885460331
United Kingdom,Europe,1,budget_per_capita,1293.131048697649
Turkiye,Other,1,budget_per_capita,611.0352659954797
Italy,Other,1,budget_per_capita,612.2399285582723
Brazil,South America,0,budget_per_capita,119.9719091228058
Germany,Europe,1,budget_per_capita,1514.520364578318
Indonesia,Other,0,budget_per_capita,39.61926429362664
Pakistan,Other,0,budget_per_capita,36.06746930205707
Israel,Other,0,budget_per_capita,3679.82658444984
Iran,Other,0,budget_per_capita,104.4271960685774
Australia,Oceania,0,budget_per_capita,2142.435700218592
Spain,Other,1,budget_per_capita,824.8798472298255
Egypt,Other,0,budget_per_capita,46.68430090063891
Ukraine,Other,0,budget_per_capita,1261.853501276127
Poland,Other,1,budget_per_capita,1441.818371865605
Taiwan,Other,0,budget_per_capita,1321.451066853472
Vietnam,Other,0,budget_per_capita,96.44571536363699
Thailand,Other,0,budget_per_capita,85.9063825147347
Saudi Arabia,Other,0,budget_per_capita,1750.965982203964
Sweden,Other,1,budget_per_capita,1501.439824133237
Algeria,Other,0,budget_per_capita,531.6606806281753
Canada,North America,1,budget_per_capita,1181.213571515347
Singapore,Other,0,budget_per_capita,2985.837674271319
Greece,Other,1,budget_per_capita,787.8862730474287
North Korea,Other,0,budget_per_capita,180.6175263794749
Argentina,Other,0,budget_per_capita,21.14975674540175
Nigeria,Other,0,budget_per_capita,16.47327255878456
Netherlands,Other,1,budget_per_capita,1788.795511776758
Myanmar,Other,0,budget_per_capita,48.93397116446204
Mexico,Other,0,budget_per_capita,69.60383265320318
Bangladesh,Other,0,budget_per_capita,19.79878929099374
Portugal,Other,1,budget_per_capita,635.3547074426541
Norway,Other,1,budget_per_capita,2030.857611430536
South Africa,Other,0,budget_per_capita,47.59884192365037
Philippines,Other,0,budget_per_capita,55.56141524244646
Malaysia,Other,0,budget_per_capita,147.5489088468879
Colombia,Other,0,budget_per_capita,318.6231800339745
Iraq,Other,0,budget_per_capita,190.0985461358241
Denmark,Other,1,budget_per_capita,2385.68149126355
Switzerland,Other,0,budget_per_capita,944.9340895973556
Ethiopia,Other,0,budget_per_capita,31.38725957483464
Finland,Other,1,budget_per_capita,1580.047255676528
Chile,Other,0,budget_per_capita,364.325035366317
Peru,Other,0,budget_per_capita,78.28161067113322
Venezuela,Other,0,budget_per_capita,193.9181011539535
Romania,Other,1,budget_per_capita,563.72837900051
Uzbekistan,Other,0,budget_per_capita,170.0410505382538
United Arab Emirates,Other,0,budget_per_capita,2340.460674030745
Czechia,Other,1,budget_per_capita,846.4747289370902
Morocco,Other,0,budget_per_capita,430.6242299415701
Hungary,Other,1,budget_per_capita,597.3419563919318
Kazakhstan,Other,0,budget_per_capita,288.0742483491861
Angola,Other,0,budget_per_capita,838.6632127720021
Azerbaijan,Other,0,budget_per_capita,478.8624931327832
Belgium,Other,1,budget_per_capita,1243.985247837762
Bulgaria,Other,1,budget_per_capita,366.4270900247233
Serbia,Other,0,budget_per_capita,416.4028446477653
Democratic Republic of the Congo,Other,0,budget_per_capita,8.318672611594495
Cuba,Other,0,budget_per_capita,301.0658908896723
Sudan,Other,0,budget_per_capita,7.820909223596327
Austria,Other,0,budget_per_capita,680.6325882456053
Sri Lanka,Other,0,budget_per_capita,68.23576165303044
Slovakia,Other,1,budget_per_capita,521.2406462018002
Belarus,Other,0,budget_per_capita,108.9079973153574
Qatar,Other,0,budget_per_capita,4682.440417415073
Ecuador,Other,0,budget_per_capita,161.8461272276371
Croatia,Other,1,budget_per_capita,661.1863379240484
Jordan,Other,0,budget_per_capita,238.8128036954279
Bahrain,Other,0,budget_per_capita,636.3029833657542
Kuwait,Other,0,budget_per_capita,2544.963842522595
Albania,Other,1,budget_per_capita,231.7393035306234
Turkmenistan,Other,0,budget_per_capita,254.6938616342084
Tunisia,Other,0,budget_per_capita,180.3285617287696
Libya,Other,0,budget_per_capita,200.3460547463119
Paraguay,Other,0,budget_per_capita,55.40675108929167
Bolivia,Other,0,budget_per_capita,37.98497300270452
Cambodia,Other,0,budget_per_capita,43.95303260980977
Kenya,Other,0,budget_per_capita,28.35889683990307
Chad,Other,0,budget_per_capita,37.0176491121761
Oman,Other,0,budget_per_capita,2143.520540277889
Syria,Other,0,budget_per_capita,6.114494597476861
Lithuania,Other,1,budget_per_capita,2150.441407115021
Tanzania,Other,0,budget_per_capita,21.88062484723835
New Zealand,Other,0,budget_per_capita,475.8474962562081
Slovenia,Other,1,budget_per_capita,849.4236836673748
Mozambique,Other,0,budget_per_capita,14.3923918937971
Mongolia,Other,0,budget_per_capita,484.5085255217151
Ireland,Other,0,budget_per_capita,335.227586486266
Georgia,Other,0,budget_per_capita,138.7482985479787
Guatemala,Other,0,budget_per_capita,33.74378040774757
Uruguay,Other,0,budget_per_capita,555.695363658392
Yemen,Other,0,budget_per_capita,12.60678018657055
Cameroon,Other,0,budget_per_capita,26.98740903965804
Tajikistan,Other,0,budget_per_capita,43.33820181771075
Armenia,Other,0,budget_per_capita,497.184023596085
Latvia,Other,1,budget_per_capita,23.31719265441811
Honduras,Other,0,budget_per_capita,64.25521251128637
Mali,Other,0,budget_per_capita,50.47609645336302
Zimbabwe,Other,0,budget_per_capita,115.262940375801
Estonia,Other,1,budget_per_capita,1989.460466698107
Uganda,Other,0,budget_per_capita,30.63934305514954
Ivory Coast,Other,0,budget_per_capita,0.6070357848929339
Kyrgyzstan,Other,0,budget_per_capita,105.9606769234658
Luxembourg,Other,1,budget_per_capita,2280.33650451245
Zambia,Other,0,budget_per_capita,18.52583542492864
Ghana,Other,0,budget_per_capita,27.59320065412529
South Sudan,Other,0,budget_per_capita,2.416616117144955
North Macedonia,Other,1,budget_per_capita,197.3790773835445
Dominican Republic,Other,0,budget_per_capita,83.48852985020049
Nicaragua,Other,0,budget_per_capita,196.4370547741273
Republic of the Congo,Other,0,budget_per_capita,153.0684286526072
Lebanon,Other,0,budget_per_capita,149.1290305382701
Eritrea,Other,0,budget_per_capita,34.52104648897313
Niger,Other,0,budget_per_capita,18.54018163000539
Afghanistan,Other,0,budget_per_capita,3.614017722943519
Namibia,Other,0,budget_per_capita,160.6821083868943
Mauritania,Other,0,budget_per_capita,62.52830380495559
Nepal,Other,0,budget_per_capita,13.85996922408297
Laos,Other,0,budget_per_capita,44.70956135846658
Senegal,Other,0,budget_per_capita,41.2680310867441
Burkina Faso,Other,0,budget_per_capita,199.1997378375215
Montenegro,Other,1,budget_per_capita,340.0855882063653
El Salvador,Other,0,budget_per_capita,156.4710557210145
Botswana,Other,0,budget_per_capita,237.0782170412312
Madagascar,Other,0,budget_per_capita,5.012441298278997
Gabon,Other,0,budget_per_capita,138.8738974504145
Bosnia and Herzegovina,Other,0,budget_per_capita,76.32142925775884
Iceland,Other,1,budget_per_capita,1373.49053390324
Panama,Other,0,budget_per_capita,239.3047712640102
Moldova,Other,0,budget_per_capita,31.70248988200675
Somalia,Other,0,budget_per_capita,66.83427473634455
Benin,Other,0,budget_per_capita,9.368545474289673
Kosovo,Other,0,budget_per_capita,595.5460871086995
Sierra Leone,Other,0,budget_per_capita,49.33643049171209
Liberia,Other,0,budget_per_capita,3.807072289681786
Suriname,Other,0,budget_per_capita,90.3583720649764
Central African Republic,Other,0,budget_per_capita,53.08835299932383
Beliz,Other,0,budget_per_capita,82.73427146942319
Bhutan,Other,0,budget_per_capita,30.0719239022052
