Country,Rank,PowerIndex,Total Population,Total Military Personnel,Active Personnel,Reserve Personnel,Total Aircraft Strength,Total Helicopter Strength,Total Tank Strength,Total Naval Assets,Defense Budget
Sri Lanka,68,1.3822,"21,982,608","10,551,652","346,000","90,000",90,49,87,275,"$                        							1,500,000,000"
Slovakia,69,1.3911,"5,563,649","2,837,461","20,982",0,48,22,45,0,"$                        							2,900,000,000"
Belarus,70,1.4072,"9,501,451","5,035,769","63,000","365,400",194,70,577,0,"$                        							1,034,784,000"
Qatar,71,1.4096,"2,552,088","638,022","26,550","4,000",263,85,62,125,"$                        							11,950,000,000"
Ecuador,72,1.4479,"18,309,984","8,422,593","41,250","118,000",99,43,202,30,"$                        							2,963,400,000"
Croatia,73,1.5432,"4,150,116","2,033,557","14,325","20,100",67,37,55,30,"$                        							2,744,000,000"
Jordan,74,1.5581,"11,174,024","3,463,947","114,500","100,000",279,159,"1,508",27,"$                        							2,668,500,000"
Bahrain,75,1.6731,"1,566,888","846,120","18,400","110,000",137,66,150,64,"$                        							997,015,509"
Kuwait,76,1.7161,"3,138,355","1,726,095","78,000","24,000",133,68,367,123,"$                        							7,987,000,000"
Albania,77,1.7258,"3,107,100","1,522,479","7,500",0,20,19,0,33,"$                        							720,037,190"
Turkmenistan,78,1.7459,"5,744,151","2,768,681","36,500",0,91,26,654,16,"$                        							1,463,000,000"
Tunisia,79,1.7823,"12,048,847","6,024,424","89,800",0,155,101,145,37,"$                        							2,172,751,250"
Libya,80,1.7872,"7,361,263","3,827,857","32,000",0,83,22,55,5,"$                        							1,474,800,000"
Paraguay,81,1.7974,"7,522,549","3,535,598","15,650","168,500",49,18,10,73,"$                        							416,800,000"
Bolivia,82,1.8301,"12,311,974","5,417,269","40,000","40,000",67,29,54,67,"$                        							467,670,000"
Cambodia,83,1.8434,"17,063,669","8,190,561","124,300",0,24,20,520,20,"$                        							750,000,000"
Kenya,84,1.8588,"58,246,378","21,551,160","50,000",0,154,84,188,27,"$                        							1,651,803,025"
Chad,85,1.8594,"19,093,595","6,873,694","37,750",0,40,16,90,0,"$                        							706,800,000"
Oman,86,1.8823,"3,901,992","1,482,757","100,000",0,128,31,264,17,"$                        							8,364,000,000"
Syria,87,1.8861,"23,865,423","15,273,871","100,000",0,104,39,168,12,"$                        							145,925,000"
Lithuania,88,1.8949,"2,628,186","1,708,321","23,000","104,000",9,4,0,13,"$                        							5,651,760,000"
Tanzania,89,1.9111,"67,462,121","12,143,182","25,000",0,38,15,200,12,"$                        							1,476,113,361"
New Zealand,90,1.9258,"5,161,211","2,219,321","10,050","3,300",47,21,0,8,"$                        							2,455,949,332"
Slovenia,91,1.9404,"2,097,893","1,006,989","7,000","26,000",40,16,54,3,"$                        							1,782,000,000"
Mozambique,92,1.9769,"33,350,954","14,674,420","11,200",0,23,7,60,36,"$                        							480,000,000"
Mongolia,93,1.9987,"3,281,676","1,870,555","35,000","230,000",8,3,420,0,"$                        							1,590,000,000"
Ireland,94,2.0661,"5,233,461","2,407,392","7,557","1,720",23,8,0,8,"$                        							1,754,400,500"
Georgia,95,2.0779,"4,900,961","2,744,538","37,000","205,500",61,44,132,19,"$                        							680,000,000"
Guatemala,96,2.1277,"18,255,216","7,484,639","106,114","90,000",35,20,0,25,"$                        							616,000,000"
Uruguay,97,2.1537,"3,425,330","1,575,652","24,000",0,43,12,62,16,"$                        							1,903,440,000"
Yemen,98,2.1617,"32,140,443","12,213,368","33,350",0,160,59,0,26,"$                        							405,187,500"
Cameroon,99,2.1689,"30,966,105","10,528,476","38,000",0,35,21,0,19,"$                        							835,694,942"
Tajikistan,100,2.1749,"10,394,063","4,781,269","150,000","600,000",25,20,38,0,"$                        							450,460,000"
Armenia,101,2.2016,"2,976,765","1,666,988","65,000","210,000",69,36,109,0,"$                        							1,480,000,000"
Latvia,102,2.2316,"1,801,246","810,561","17,870","38,000",3,3,0,18,"$                        							42,000,000"
Honduras,103,2.2575,"9,529,188","4,192,843","52,225",0,45,11,22,98,"$                        							612,300,000"
Mali,104,2.2598,"21,990,607","6,817,088","40,000",0,44,10,0,0,"$                        							1,110,000,000"
Zimbabwe,105,2.2801,"17,150,352","6,517,134","29,000",0,80,28,60,0,"$                        							1,976,800,000"
Estonia,106,2.3201,"1,193,791","584,958","7,700","230,000",2,0,0,8,"$                        							2,375,000,000"
Uganda,107,2.3252,"49,283,041","16,756,234","45,000",0,51,30,259,0,"$                        							1,510,000,000"
Ivory Coast,108,2.3884,"29,981,758","12,292,521","22,000",0,22,14,0,8,"$                        							18,200,000"
Kyrgyzstan,109,2.3969,"6,172,101","3,147,772","23,000",0,7,7,215,0,"$                        							654,000,000"
Luxembourg,110,2.4429,"671,254","154,388","1,200",0,1,0,0,0,"$                        							1,530,685,000"
Zambia,111,2.4461,"20,799,116","7,279,691","15,150",0,78,33,75,0,"$                        							385,321,000"
Ghana,112,2.4566,"34,589,092","14,873,310","15,500",0,18,9,0,20,"$                        							954,423,756"
South Sudan,113,2.4645,"12,703,714","6,351,857","185,000",0,19,15,122,0,"$                        							30,700,000"
North Macedonia,114,2.4956,"2,135,622","948,216","10,010","60,000",20,10,0,0,"$                        							421,527,100"
Dominican Republic,115,2.5853,"10,815,857","4,975,294","89,000","189,000",80,49,6,34,"$                        							903,000,000"
Nicaragua,116,2.5894,"6,676,948","3,271,705","45,000",0,17,12,186,23,"$                        							1,311,600,000"
Republic of the Congo,117,2.6259,"6,097,665","2,256,136","10,000",0,14,8,61,4,"$                        							933,360,000"
Lebanon,118,2.6521,"5,364,482","2,092,148","80,000","15,000",80,68,334,48,"$                        							800,000,000"
Eritrea,119,2.6841,"6,343,956","2,220,385","350,000","680,000",20,13,148,23,"$                        							219,000,000"
Niger,120,2.6867,"26,342,784","7,902,835","25,000",0,26,13,0,0,"$                        							488,400,000"
Afghanistan,121,2.7342,"40,121,552","15,647,405","75,000",0,5,3,0,0,"$                        							145,000,000"
Namibia,122,2.7414,"2,803,660","616,805","17,567",0,36,7,7,15,"$                        							450,498,000"
Mauritania,123,2.7919,"4,328,040","1,687,936","31,540","66,000",23,4,51,6,"$                        							270,625,000"
