country,active_personnel,aircraft_carriers,armored_fighting_vehicles,attack_aircraft,attack_helicopters,border_coverage_km,coastal_patrol_craft,coastline_coverage_km,corvettes,defense_budget_usd,destroyers,fighter_aircraft,fit_for_service,frigates,helicopter_carriers,major_ports_and_terminals,paramilitary,population_reaching_military_age_annually,purchasing_power_parity_usd,railway_coverage_km,reserve_personnel,roadway_coverage_km,rocket_projectors,self_propelled_artillery,special_mission_aircraft,submarines,tanker_aircraft,tanks,total_land_area_sq_km,total_military_aircraft,total_military_helicopters,total_military_manpower,total_naval_fleet,total_population,total_serviceable_airports,towed_artillery,trainer_aircraft,transport_aircraft,waterway_coverage_km,Power_Score,Power_Rank,Power_Index_Rank_Gap,Total_Assets,Assets_Per_Capita,Budget_to_GDP_Ratio,Continent,Region,Alliance,Military_Readiness_Index,Budget_per_Soldier,Manpower_Density,Tank_Density,Naval_Strength_per_Coastline,Air_Power_Ratio,Logistics_Strength_Index
Iran,610000,0,65825,21,13,5894,21,2440,3,15450000000,0,188,41541860,7,0,18,220000,1414191,1.44E+12,8484,350000,223485,1517,392,10,25,6,1713,1648195,551,128,49496685,107,88386937,173,2070,103,87,850,612371,8,7,2371,2.68E-05,0.010729167,Asia,Asia,Non-NATO,0.02310922,25327.86885,0.560000003,0.001039319,0.043852459,0.000903279,0.141256951
Iraq,193000,0,37288,36,39,3809,26,58,2,7923000000,0,26,14308368,0,0,6,100000,715418,5.72939E+11,2272,0,59623,572,434,17,0,0,1025,438317,391,197,17675043,68,42083436,71,610,139,15,5279,194484,28,27,1484,3.53E-05,0.013828697,Asia,Asia,Non-NATO,0.01348861,41051.81347,0.419999997,0.00233849,1.172413793,0.002025907,0.15325438
Ireland,7765,0,1712,0,0,443,8,1448,0,1500000000,0,0,1999182,0,0,21,0,57568,6.08463E+11,1688,1700,99830,0,0,2,0,0,0,70273,22,8,2407392,8,5233461,100,0,8,4,956,7795,131,130,30,5.73E-06,0.002465228,Europe,Europe,Non-NATO,0.004734436,193174.501,0.459999989,0,0.005524862,0.002833226,1.4582272
Israel,170000,0,35985,38,48,1068,46,273,7,30500000000,0,240,3281513,0,0,5,35000,131637,4.7103E+11,1497,465000,20391,183,352,19,5,14,1300,21937,611,147,3949099,62,9402617,37,171,159,13,0,171973,32,31,1973,0.000209835,0.064751714,Asia,Asia,Non-NATO,0.193508299,179411.7647,0.419999985,0.05926061,0.227106227,0.003594118,0.997766331
Italy,165500,2,73480,67,37,1836,19,7600,0,30890000000,3,89,22191235,10,0,123,105000,548684,3.097E+12,18475,18500,487700,21,64,23,8,8,200,301340,729,392,27434219,196,60964931,636,108,162,30,2400,166625,35,34,1125,1.85E-05,0.009974169,Europe,Europe,NATO,0.008291562,186646.5257,0.450000001,0.000663702,0.025789474,0.004404834,1.687711555
Ivory Coast,22000,0,656,0,3,3458,3,515,0,669600935,0,0,7855221,0,0,5,5500,569653,2.02758E+11,660,0,81996,3,0,3,0,0,5,322463,19,10,12292521,3,29981758,29,2,2,4,980,22027,105,104,27,9.01E-07,0.003302464,Africa,Africa,Non-NATO,0.002800685,30436.40614,0.410000007,1.55E-05,0.005825243,0.000863636,0.259366191
Japan,247150,0,31964,38,119,0,6,29751,0,57000000000,42,217,42874277,6,4,163,25000,1108818,5.761E+12,27311,56000,1218772,54,149,141,24,10,521,377915,1443,596,52976836,159,123201945,279,480,401,55,1770,249273,21,20,2123,1.72E-05,0.009894116,Asia,Asia,Non-NATO,0.007070673,230629.1726,0.429999997,0.001378617,0.005344358,0.00583856,3.301940913
Jordan,100500,0,16624,6,44,1744,27,26,0,2500000000,0,44,2983464,0,0,1,35000,145262,1.06806E+11,509,65000,7203,56,358,13,0,0,1458,89342,274,155,3463947,27,11174024,17,80,66,13,0,102259,51,50,1759,0.000157419,0.023406925,Asia,Asia,Non-NATO,0.055472431,24875.62189,0.309999961,0.016319312,1.038461538,0.002726368,0.086319984
Kazakhstan,110000,0,7736,25,12,13364,23,26,0,2048700000,0,63,6928922,0,0,0,55000,283640,7.0552E+11,16636,135000,96167,287,126,0,0,0,350,2724900,198,65,9117003,26,20260006,132,194,26,19,43983,110574,46,45,574,2.83E-05,0.002903816,Asia,Asia,Non-NATO,0.035359036,18624.54545,0.450000015,0.000128445,1,0.0018,0.057538258
Kenya,50000,0,4128,0,2,3457,7,536,0,1307383850,0,17,14037377,0,0,4,25000,931942,3.14063E+11,3819,0,161452,0,18,2,0,0,188,580367,156,85,21551160,23,58246378,370,53,31,21,0,50367,72,71,367,6.30E-06,0.004162808,Africa,Africa,Non-NATO,0.003561919,26147.677,0.370000002,0.000323933,0.042910448,0.00312,0.284769809
Kosovo,10000,0,737,0,0,714,0,0,0,260715150,0,0,743387,0,0,0,500,17794,23794000000,437,5000,2012,0,0,0,0,0,0,10887,0,0,917371,0,1977093,4,0,0,0,0,10000,125,124,0,0,0.01095718,Europe,Europe,Non-NATO,0.020177915,26071.515,0.463999923,0,,0,0.224947185
Kuwait,72000,0,5636,0,16,475,106,499,0,6950000000,0,43,1449920,0,0,6,7500,37660,2.1906E+11,0,24000,5749,27,74,0,0,3,367,17818,128,67,1726095,123,3138355,6,0,13,2,0,72618,59,58,618,0.000196918,0.031726468,Asia,Asia,Non-NATO,0.06621055,96527.77778,0.54999992,0.020597149,0.246492986,0.001777778,0.322651252
Kyrgyzstan,23000,0,2686,0,2,4573,0,0,0,221800000,0,0,2487357,0,0,0,55000,117270,45461000000,424,300000,34000,21,30,0,0,0,215,199951,7,7,3147772,0,6172101,28,169,0,0,576,23222,103,102,222,3.60E-05,0.004878907,Asia,Asia,Non-NATO,0.129856711,9643.478261,0.510000079,0.001075263,,0.000304348,0.175042886
Laos,100000,0,4380,0,0,5274,36,0,0,135000000,0,0,2521277,0,0,0,120000,159071,64173000000,422,30000,39568,64,40,0,0,0,160,236800,33,23,3499565,36,7953556,18,87,8,2,4600,100229,53,52,229,2.88E-05,0.002103688,Asia,Asia,Non-NATO,0.051561173,1350,0.440000045,0.000675676,inf,0.00033,0.188302365
Latvia,17250,0,1848,0,0,1370,11,498,0,1138000000,0,0,648449,0,0,5,12500,16211,71154000000,2216,36000,70244,0,47,0,0,0,0,64589,7,7,810561,18,1801246,56,0,0,0,300,17275,110,109,25,1.39E-05,0.015993479,Europe,Europe,NATO,0.082119026,65971.01449,0.450000167,0,0.036144578,0.000405797,1.12650761
Lebanon,60000,0,4538,9,0,484,61,225,0,768250325,0,0,1775644,0,0,5,65000,69738,65818000000,401,35000,21705,11,12,0,0,0,116,10400,80,68,2092148,64,5364482,8,353,9,0,0,60260,66,65,260,4.85E-05,0.011672344,Asia,Asia,Non-NATO,0.053501715,12804.17208,0.390000004,0.011153846,0.284444444,0.001333333,2.125576923
Liberia,1500,0,300,0,0,1667,4,579,0,364800000,0,0,1913912,0,0,4,5500,65247,8884000000,429,0,10600,0,0,0,0,0,0,111369,0,0,2392390,4,5437249,99,0,0,0,0,1504,141,140,4,7.36E-07,0.041062584,Africa,Africa,Non-NATO,0.000783735,243200,0.440000081,0,0.006908463,0,0.099031149
Libya,32000,0,1816,1,4,4339,1,1770,1,3060000000,0,10,3290485,0,0,14,100000,125141,1.21951E+11,2000,0,37000,25,15,0,0,0,43,1759540,143,16,3827857,5,7361263,66,28,38,6,0,32191,89,88,191,2.59E-05,0.025092045,Africa,Africa,Non-NATO,0.00972501,95625,0.520000033,2.44E-05,0.002824859,0.00446875,0.022164884
Lithuania,23000,0,1263,0,0,1545,7,90,0,2388900000,0,0,1332490,0,0,2,14150,36795,1.32712E+11,1911,104000,84166,0,21,0,0,0,0,65300,9,4,1708321,14,2628186,65,54,0,5,441,23023,104,103,23,8.75E-06,0.018000633,Europe,Europe,NATO,0.095310284,103865.2174,0.650000038,0,0.155555556,0.000391304,1.324931087
Luxembourg,1000,0,182,0,0,327,0,0,0,726092925,0,0,92633,0,0,0,0,3356,88533000000,271,0,2875,0,0,0,0,0,0,2586,1,0,154388,0,671254,3,0,0,1,37,1001,142,141,1,1.49E-06,0.008201382,Europe,Europe,NATO,0.010795289,726092.925,0.229999374,0,,0.001,1.230858469
Madagascar,13500,0,158,0,0,0,4,4828,0,112210000,0,0,7952233,0,0,13,8100,559602,51255000000,836,0,31640,0,0,0,0,0,6,587040,5,5,11192031,6,29452714,91,9,0,0,600,13517,118,117,17,5.77E-07,0.00218925,Africa,Africa,Non-NATO,0.001697636,8311.851852,0.379999989,1.02E-05,0.001242751,0.00037037,0.05634369
Malaysia,113000,0,13506,12,0,2742,71,4675,6,4800000000,0,26,13480276,2,0,35,100000,553037,1.152E+12,1851,51600,144403,36,0,6,2,4,48,329847,135,45,16245461,100,34564810,102,196,31,16,7200,113283,45,44,283,8.19E-06,0.004166667,Asia,Asia,Non-NATO,0.012210432,42477.87611,0.470000009,0.000145522,0.021390374,0.00119469,0.465227818
Mali,40000,0,570,12,8,7908,0,0,0,650386000,0,9,4288168,0,0,0,4800,351850,57235000000,593,0,139107,20,0,1,0,0,10,1240192,43,10,6817088,0,21990607,30,10,4,7,1800,40053,84,83,53,2.41E-06,0.011363431,Africa,Africa,Non-NATO,0.009327993,16259.65,0.309999992,8.06E-06,,0.001075,0.114095237
Mauritania,31540,0,628,4,0,5002,6,754,0,261250000,0,0,1181555,0,0,2,5000,82233,30395000000,728,66000,12253,0,0,2,0,0,25,1030700,24,4,1687936,6,4328040,25,75,7,7,1086,31595,90,89,55,1.27E-05,0.008595164,Africa,Africa,Non-NATO,0.08255223,8283.13253,0.390000092,2.43E-05,0.00795756,0.000760938,0.013648006
Mexico,412000,0,19658,33,0,4389,140,9330,3,7600000000,5,3,49811912,1,0,35,120000,2222579,2.873E+12,23389,98655,704884,0,20,25,0,0,0,1964375,433,178,61447766,167,130739927,1485,70,176,41,2900,412600,12,11,600,4.59E-06,0.002645318,North America,North America,Non-NATO,0.010251664,18446.60194,0.470000002,0,0.01789925,0.001050971,0.372216608
Moldova,8500,0,500,0,0,1885,0,0,0,1710000000,0,0,1792565,0,0,0,2000,71991,38969000000,1171,67000,9352,11,9,0,0,0,0,33851,3,2,2159717,0,3599528,11,67,0,1,558,8503,130,129,3,8.33E-07,0.043881034,Europe,Europe,Non-NATO,0.042118417,201176.4706,0.600000056,0,,0.000352941,0.327346312
Mongolia,35000,0,2560,0,0,8082,0,0,0,165110000,0,0,1552233,0,0,0,50000,62352,56264000000,1815,135000,113200,130,0,0,0,0,420,1564116,7,2,1870555,0,3281676,35,500,2,3,580,35427,87,86,427,0.000130116,0.002934559,Asia,Asia,Non-NATO,0.10951964,4717.428571,0.569999902,0.000268522,,0.0002,0.073904365
Montenegro,2350,0,471,0,0,680,2,294,0,148100000,0,0,85179,0,0,4,5500,3599,17115000000,250,0,7762,12,0,0,0,0,0,13812,11,11,143964,14,599849,5,12,0,0,0,2375,138,137,25,4.17E-05,0.008653228,Europe,Europe,NATO,0.02758896,63021.2766,0.2400004,0,0.047619048,0.004680851,0.580075297
Morocco,195800,0,7877,0,0,2363,105,1835,1,13400000000,0,83,15254135,6,0,12,50000,635589,3.3748E+11,2067,150000,57300,129,396,4,0,2,903,715550,260,78,17946041,111,37387585,49,153,75,31,0,197074,27,26,1274,3.41E-05,0.039706057,Africa,Africa,Non-NATO,0.022669263,68437.1808,0.480000005,0.001261966,0.060490463,0.001327886,0.082966949
Mozambique,11200,0,872,0,2,4783,33,2470,0,412400000,0,8,7770772,0,0,11,3000,533615,50631000000,4787,0,31083,6,0,1,0,0,30,799380,22,8,14674420,33,33350954,92,52,1,4,460,11285,123,122,85,2.55E-06,0.008145207,Africa,Africa,Non-NATO,0.001441298,36821.42857,0.440000007,3.75E-05,0.013360324,0.001964286,0.045447722
Myanmar,150000,0,5980,26,9,6522,146,1930,3,2948000000,0,58,21975367,6,0,7,55000,1035489,2.90507E+11,5031,20000,157000,180,95,5,3,0,445,676578,317,83,30489384,232,57527139,73,210,119,30,12800,150994,38,37,994,1.73E-05,0.010147776,Asia,Asia,Non-NATO,0.007735935,19653.33333,0.530000006,0.000657722,0.120207254,0.002113333,0.258404796
Namibia,13000,0,2094,0,2,4220,12,1572,2,370500000,0,11,400923,0,0,2,5000,30840,29944000000,2628,0,48875,25,0,0,0,0,4,824292,34,7,616805,15,2803660,255,25,14,3,0,13053,119,118,53,1.89E-05,0.012373096,Africa,Africa,Non-NATO,0.032425179,28500,0.219999929,4.85E-06,0.009541985,0.002615385,0.062481499
Nepal,95000,0,1108,0,0,3159,0,0,0,409100000,0,0,11733140,0,0,0,15000,778060,1.4431E+11,59,0,27990,0,0,0,0,0,0,147181,15,10,15249970,0,31122387,51,14,0,5,0,95015,54,53,15,4.82E-07,0.002834869,Asia,Asia,Non-NATO,0.008096724,4306.315789,0.490000012,0,,0.000157895,0.19057487
Netherlands,41380,0,2755,0,12,1053,4,451,0,27000000000,0,32,6486918,6,0,18,5000,195496,1.24E+12,3055,6765,139124,2,46,0,3,0,18,41543,120,63,7997570,64,17772378,45,0,21,4,6237,41582,80,79,202,1.14E-05,0.021774194,Europe,Europe,NATO,0.00742186,652489.1252,0.449999994,0.000433286,0.141906874,0.002899952,3.57258744
New Zealand,8670,0,2114,0,0,0,4,15134,0,3030000000,0,0,1775457,2,0,22,300,61935,2.5477E+11,4128,3250,94000,0,0,6,0,0,0,268838,48,21,2219321,8,5161211,202,31,13,8,0,8726,128,127,56,1.09E-05,0.01189308,Oceania,Oceania,Non-NATO,0.006713764,349480.9689,0.430000052,0,0.000528611,0.005536332,0.365007923
Nicaragua,45000,0,1869,0,0,1253,23,910,0,92000000,0,0,2777610,0,0,5,5500,146893,51088000000,0,0,23897,0,0,0,0,0,89,130370,17,11,3271705,23,6676948,39,0,1,5,2220,45129,77,76,129,1.93E-05,0.001800814,North America,North America,Non-NATO,0.016200979,2044.444444,0.490000072,0.000682672,0.025274725,0.000377778,0.20032983
Niger,25000,0,456,2,1,5834,0,0,0,336400000,0,0,5294900,0,0,0,5000,447827,44561000000,0,0,18949,0,0,2,0,0,0,1267000,26,13,7902835,0,26342784,26,0,0,7,300,25026,98,97,26,9.87E-07,0.007549202,Africa,Africa,Non-NATO,0.004721524,13456,0.299999992,0,,0.00104,0.015192581
Nigeria,230000,0,8962,24,15,4477,109,853,0,3160000000,0,14,90437404,1,0,28,50000,4261448,1.275E+12,3798,0,195000,37,40,11,0,0,330,923768,163,66,125475979,133,236747130,47,339,28,23,8600,230626,22,21,626,2.64E-06,0.002478431,Africa,Africa,Non-NATO,0.002543196,13739.13043,0.53,0.000357233,0.155920281,0.000708696,0.224513081
North Korea,1320000,0,18288,114,20,1607,155,2495,4,4736000000,0,368,5312331,2,0,10,100000,420779,72000000000,7435,560000,25554,1500,1300,0,13,0,4344,120538,861,205,9467520,207,26298666,83,700,173,1,2250,1325412,5,4,5412,0.00020579,0.065777778,Asia,Asia,Non-NATO,0.353893611,3587.878788,0.360000009,0.036038428,0.082965932,0.000652273,0.292347641
North Macedonia,9000,0,1108,0,4,838,0,0,0,388421700,0,0,783773,0,0,0,3500,27763,42444000000,699,60000,14182,17,0,0,0,0,20,25713,20,10,948216,0,2135622,13,150,10,0,0,9040,127,126,40,1.87E-05,0.009151392,Europe,Europe,NATO,0.088035694,43157.96667,0.443999921,0.000777817,,0.002222222,0.578734492
Norway,23250,0,6552,32,0,2566,18,25148,6,9710000000,0,0,1807192,4,0,141,40000,71627,4.99528E+11,3848,0,94902,0,42,5,6,0,44,323802,97,33,2203893,43,5509733,145,0,23,4,1577,23434,102,101,184,3.34E-05,0.01943835,Europe,Europe,NATO,0.012865263,417634.4086,0.399999964,0.000135886,0.001709878,0.004172043,0.309840582
Oman,42600,0,4084,10,0,1561,12,2092,5,8200000000,0,29,1291559,0,0,7,10000,50726,1.8596E+11,0,100000,60230,0,24,4,0,0,150,309500,128,31,1482757,22,3901992,36,140,45,9,0,42900,78,77,300,7.69E-05,0.044095504,Asia,Asia,Non-NATO,0.110409203,192488.2629,0.38000001,0.000484653,0.010516252,0.003004695,0.1946042
Pakistan,654000,0,17516,90,57,7257,69,1046,9,7640000000,0,328,85803614,9,0,3,500000,4794908,1.347E+12,11881,550000,264175,600,662,27,8,4,2627,796095,1399,373,108516336,121,252363571,116,2629,565,64,0,658147,7,6,4147,1.64E-05,0.005671863,Asia,Asia,Non-NATO,0.014032043,11681.95719,0.430000002,0.003299857,0.115678776,0.002139144,0.346762635
Panama,0,0,262,0,0,687,27,2490,0,917202000,0,0,1206965,0,0,12,80000,53643,1.59867E+11,77,0,11978,0,0,2,0,0,0,75420,38,23,2011608,30,4470241,76,0,0,13,800,68,143,142,68,1.52E-05,0.005737282,North America,North America,Non-NATO,0,inf,0.449999899,0,0.012048193,inf,0.170445505
Paraguay,15650,0,1108,0,0,4655,63,0,0,17595000000,0,0,3001497,0,0,1,15000,150451,1.08022E+11,30,168500,78811,0,0,1,0,0,0,406752,39,14,3535598,72,7522549,83,25,13,11,3100,15761,113,112,111,1.48E-05,0.162883487,South America,South America,Non-NATO,0.061352718,1124281.15,0.469999996,0,inf,0.002492013,0.20145199
Peru,120000,0,6560,22,16,7062,13,2414,8,3420000000,0,15,12681497,7,0,20,60000,619405,5.17644E+11,1855,385000,18699,49,12,12,4,0,240,1285216,256,111,15648120,71,32600249,166,290,72,38,8808,120567,43,42,567,1.74E-05,0.006606857,South America,South America,Non-NATO,0.039821797,28500,0.480000015,0.000186739,0.029411765,0.002133333,0.022845965
Philippines,150000,0,11878,25,2,0,58,36289,1,4380000000,0,0,41751803,2,0,70,35000,2128987,1.138E+12,77,1200000,216387,0,12,8,0,0,10,300000,202,122,50859137,113,118277063,246,294,23,26,3219,150325,39,38,325,2.75E-06,0.003848858,Asia,Asia,Non-NATO,0.032333933,29200,0.429999999,3.33E-05,0.003113891,0.001346667,0.732276667
Poland,202100,0,23138,44,29,2845,3,440,2,48700000000,0,59,15576017,2,0,10,50000,464956,1.616E+12,19461,350000,420000,196,677,11,1,0,614,312685,479,216,18985692,62,38746310,288,0,105,49,3997,203255,25,24,1155,2.98E-05,0.030136139,Europe,Europe,NATO,0.035445519,240969.8169,0.490000003,0.001963638,0.140909091,0.002370114,1.41822601
Portugal,24000,0,10828,0,0,1224,20,1793,2,4627000000,0,28,4096295,5,0,18,24700,127677,5.29901E+11,3622,211700,136635,0,24,14,2,3,34,92090,115,31,5319863,194,10639726,136,115,23,19,764,24343,101,100,343,3.22E-05,0.00873182,Europe,Europe,NATO,0.057539801,192791.6667,0.5,0.000369204,0.10819855,0.004791667,1.531338908
Qatar,66550,0,5024,6,24,87,105,563,4,9432000000,0,102,490001,0,0,6,5500,12760,3.04973E+11,0,15000,7039,16,46,0,0,0,99,11586,251,80,638022,115,2552088,8,12,51,12,0,67015,62,61,465,0.000182204,0.030927328,Asia,Asia,Non-NATO,0.166428232,141728.024,0.25,0.008544795,0.204262877,0.0037716,0.607543587
Republic of the Congo,8500,0,644,0,1,5008,0,169,0,306400000,0,2,1353682,0,0,5,2500,115856,38163000000,510,0,23324,30,2,0,0,0,30,342000,13,7,2256136,4,6097665,56,38,0,4,1120,8547,129,128,47,7.71E-06,0.008028719,Africa,Africa,Non-NATO,0.00627917,36047.05882,0.369999992,8.77E-05,0.023668639,0.001529412,0.072964912
Romania,81300,0,10774,0,0,2844,3,225,7,9700000000,0,21,7731114,3,0,11,15000,199630,7.72107E+11,10628,55000,84185,243,0,2,0,0,328,238391,140,65,9437041,20,18148155,82,720,44,14,1731,81788,57,56,488,2.69E-05,0.012563026,Europe,Europe,NATO,0.01763006,119311.1931,0.520000022,0.001375891,0.088888889,0.001722017,0.404981732
Russia,1320000,1,131527,689,557,22407,123,37653,83,1.26E+11,10,833,46189226,12,0,67,250000,1267387,5.816E+12,85494,2000000,1283387,3005,5168,141,63,19,5750,17098242,4292,1651,69002197,419,140820810,904,8505,611,456,102000,1330461,4,3,10461,7.43E-05,0.021664374,Europe,Europe,Non-NATO,0.071878234,95454.54545,0.490000001,0.000336292,0.011127931,0.003251515,0.086025277
Saudi Arabia,257000,0,19040,81,34,4272,9,2640,9,74760000000,0,283,17468238,7,0,16,150000,621255,1.831E+12,5410,0,221372,321,332,16,0,22,840,2149690,917,264,19003104,32,36544431,86,467,202,49,0,258789,20,19,1789,4.90E-05,0.040830147,Asia,Asia,Non-NATO,0.014712417,290894.9416,0.519999997,0.000390754,0.012121212,0.003568093,0.105495211
Senegal,17000,0,1740,0,5,2684,4,531,0,465150000,0,0,4089912,0,0,6,0,395798,77382000000,906,0,16665,6,0,1,0,0,0,196722,40,20,7162057,4,18847519,19,20,23,5,1000,17044,111,110,44,2.33E-06,0.006011088,Africa,Africa,Non-NATO,0.004156569,27361.76471,0.379999988,0,0.007532957,0.002352941,0.094402253
Serbia,25000,0,3683,17,4,2322,7,0,0,2287461000,0,11,2574406,0,0,0,600000,79827,1.62213E+11,3333,2000,44248,98,90,0,0,0,262,77474,110,46,3259584,20,6652212,43,150,33,3,587,25392,94,93,392,5.89E-05,0.014101589,Europe,Europe,Non-NATO,0.010487856,91498.44,0.490000018,0.00338178,inf,0.0044,0.621731161
Sierra Leone,13000,0,150,0,0,1093,7,402,0,228600000,0,0,1203978,0,0,3,0,45605,14633000000,0,0,11701,0,0,0,0,0,0,71740,1,1,2006631,7,9121049,8,0,0,0,800,13008,120,119,8,8.77E-07,0.015622224,Africa,Africa,Non-NATO,0.010797539,17584.61538,0.220000024,0,0.017412935,7.69E-05,0.174254251
Singapore,51000,0,8998,0,18,0,12,193,6,15000000000,0,100,2628408,6,0,5,12000,66313,7.54758E+11,0,252500,3500,24,48,9,6,11,170,719,230,70,3918498,50,6028459,9,89,36,9,0,51450,71,70,450,7.46E-05,0.01987392,Asia,Asia,Non-NATO,0.115469136,294117.6471,0.649999942,0.236439499,0.259067358,0.004509804,4.867872045
Slovakia,19500,0,3074,0,0,1587,0,0,0,2656000000,0,2,2353424,0,0,0,0,61200,2.13053E+11,3627,0,56926,25,35,1,0,0,45,49035,41,22,2837461,0,5563649,114,9,9,7,172,19586,108,107,86,1.55E-05,0.012466382,Europe,Europe,NATO,0.0082858,136205.1282,0.510000002,0.000917712,,0.002102564,1.238401142
Slovenia,7300,0,1428,0,0,1211,2,47,0,886860000,0,0,826570,0,0,2,5000,22867,1.02036E+11,1207,26000,38985,0,0,0,0,0,54,20273,39,16,1006989,2,2097893,42,18,23,4,710,7395,134,133,95,4.53E-05,0.008691638,Europe,Europe,NATO,0.040286969,121487.6712,0.480000172,0.002663641,0.042553191,0.005342466,2.017560302
Somalia,15000,0,682,0,0,2385,10,3025,0,171002350,0,0,1796384,0,0,6,2000,130173,26351000000,0,0,15000,0,0,0,0,0,0,637657,0,0,2993973,10,13017273,38,0,0,0,0,15010,116,115,10,7.68E-07,0.006489406,Africa,Africa,Non-NATO,0.008350108,11400.15667,0.230000016,0,0.003305785,0,0.023523618
South Africa,71235,0,18692,0,10,5244,33,2798,0,2266800000,0,2,14989776,4,0,8,50000,1027525,8.62981E+11,20986,29350,750000,101,49,0,3,0,252,1219090,182,87,27803618,49,60442647,575,134,81,12,0,71718,60,59,483,7.99E-06,0.002626709,Africa,Africa,Non-NATO,0.00671024,31821.43609,0.460000006,0.000206712,0.017512509,0.002554924,0.632427466
South Korea,600000,0,58880,98,111,237,35,2413,5,46300000000,13,315,21353538,17,2,15,120000,416654,2.615E+12,3979,3100000,100428,426,3270,36,22,4,2236,99720,1592,807,26040900,227,52081799,89,4400,318,41,1600,604055,9,8,4055,7.79E-05,0.017705545,Asia,Asia,Non-NATO,0.173273394,77166.66667,0.50000001,0.022422784,0.094073767,0.002653333,1.06304653
South Sudan,185000,0,1950,0,6,6018,0,0,0,175300000,0,0,4065188,0,0,0,0,330297,20010000000,248,0,90200,15,24,0,0,0,30,644329,20,15,6351857,0,12703714,82,0,0,5,0,185050,30,29,50,3.94E-06,0.00876062,Africa,Africa,Non-NATO,0.04550835,947.5675676,0.5,4.66E-05,,0.000108108,0.140375491
Spain,133282,1,17626,12,17,1953,22,4964,0,23397000000,0,137,17635602,11,0,52,78470,330963,2.242E+12,15489,15150,683175,0,95,8,2,0,317,505370,461,153,21748999,152,47280433,363,287,140,51,1000,134212,41,40,930,1.97E-05,0.010435772,Europe,Europe,NATO,0.008416611,175545.0849,0.459999996,0.000627263,0.030620467,0.003458832,1.384458911
Sri Lanka,346000,0,3190,0,9,0,59,1340,0,1265400000,0,5,8551235,5,0,6,0,307757,2.87132E+11,1562,90000,114093,28,0,3,0,0,44,65610,85,55,10551652,270,21982608,18,96,8,14,160,346399,17,16,399,1.82E-05,0.004407032,Asia,Asia,Non-NATO,0.050986787,3657.225434,0.480000007,0.000670629,0.201492537,0.000245665,1.765203475
Sudan,92000,0,2900,27,35,6819,6,853,0,342000000,0,37,17108407,0,0,4,17500,1312149,1.36039E+11,7251,85000,31000,192,100,0,0,0,224,1861484,165,64,26747657,6,50467278,41,287,15,13,4068,92395,55,54,395,7.83E-06,0.002513985,Africa,Africa,Non-NATO,0.010345791,3717.391304,0.529999993,0.000120334,0.007033998,0.001793478,0.022734012
Suriname,2000,0,650,0,0,1907,17,386,0,144000000,0,0,84079,0,0,4,200,3234,11824000000,0,0,4304,0,0,0,0,0,0,163820,3,3,142287,17,646758,55,0,0,0,1200,2020,139,138,20,3.09E-05,0.01217862,South America,South America,Non-NATO,0.023787153,72000,0.220000371,0,0.044041451,0.0015,0.033597851
Sweden,24400,0,6795,0,0,2211,179,3218,7,13000000000,0,71,3558185,0,0,92,25000,105898,6.76353E+11,10910,32900,573134,0,26,5,4,1,110,450295,169,53,4235934,308,10589835,203,0,33,6,2052,24987,99,98,587,5.54E-05,0.019220732,Europe,Europe,NATO,0.016103716,532786.8852,0.4,0.000244284,0.095711622,0.00692623,1.301582296
Switzerland,101584,0,6996,0,0,1770,0,0,0,25039000000,0,43,3163225,0,0,0,5000,97466,7.33779E+11,5296,49715,71557,0,133,3,0,0,205,41277,146,40,3898653,0,8860574,62,0,44,16,1292,101935,52,51,351,3.96E-05,0.034123353,Europe,Europe,Non-NATO,0.047830616,246485.667,0.44000005,0.004966446,,0.001437234,1.893185067
Syria,170000,0,11148,9,14,2363,16,193,0,291850000,0,104,13245310,0,0,3,50000,668232,55935900000,2052,50000,69873,204,90,1,0,0,365,187437,207,77,15273871,27,23865423,39,641,15,3,900,170599,33,32,599,2.51E-05,0.005217579,Asia,Asia,Non-NATO,0.016609653,1716.764706,0.640000012,0.001947321,0.139896373,0.001217647,0.388530546
Taiwan,215000,0,19921,0,91,0,37,1566,7,19740000000,4,285,1061787,22,0,8,55000,306739,1.2573E+12,1613,2310000,43206,234,488,18,4,0,888,35980,761,236,12269542,97,23595274,53,1360,232,19,0,216746,24,23,1746,7.40E-05,0.01570031,Asia,Asia,Non-NATO,2.378066411,91813.95349,0.51999998,0.024680378,0.061941252,0.003539535,1.245664258
Tajikistan,9500,0,1240,0,6,4130,0,0,0,446000000,0,0,3773045,0,0,0,20000,176699,46467000000,680,600000,30000,20,3,0,0,0,38,144100,25,20,4781269,0,10394063,19,13,4,1,200,9563,126,125,63,6.06E-06,0.009598209,Asia,Asia,Non-NATO,0.161540612,46947.36842,0.460000002,0.000263706,,0.002631579,0.214295628
Tanzania,27000,0,1072,0,0,4161,10,1424,0,1406745334,0,14,6678750,0,0,8,6500,607159,2.3405E+11,4097,80000,145203,0,0,0,0,0,62,947300,39,12,12143182,12,67462121,206,0,7,6,0,27113,93,92,113,1.68E-06,0.006010448,Africa,Africa,Non-NATO,0.016020962,52101.67904,0.180000003,6.54E-05,0.008426966,0.001444444,0.157605827
