country,active_personnel,aircraft_carriers,armored_fighting_vehicles,attack_aircraft,attack_helicopters,border_coverage_km,coastal_patrol_craft,coastline_coverage_km,corvettes,defense_budget_usd,destroyers,fighter_aircraft,fit_for_service,frigates,helicopter_carriers,major_ports_and_terminals,paramilitary,population_reaching_military_age_annually,purchasing_power_parity_usd,railway_coverage_km,reserve_personnel,roadway_coverage_km,rocket_projectors,self_propelled_artillery,special_mission_aircraft,submarines,tanker_aircraft,tanks,total_land_area_sq_km,total_military_aircraft,total_military_helicopters,total_military_manpower,total_naval_fleet,total_population,total_serviceable_airports,towed_artillery,trainer_aircraft,transport_aircraft,waterway_coverage_km,Power_Score,Power_Rank,Power_Index_Rank_Gap,Total_Assets,Assets_Per_Capita,Budget_to_GDP_Ratio,Continent,Region,Alliance,Military_Readiness_Index,Budget_per_Soldier,Manpower_Density,Tank_Density,Naval_Strength_per_Coastline,Air_Power_Ratio,Logistics_Strength_Index
Cambodia,221000,0,3627,0,0,2530,20,443,0,860000000,0,0,5733393,0,0,2,10000,307146,85900000000,642,0,47263,463,30,0,0,0,644,181035,25,21,8190561,20,17063669,13,430,0,4,3700,221689,23,22,689,4.04E-05,0.010011641,Asia,Asia,Non-NATO,0.03854611,3891.402715,0.479999993,0.003557323,0.045146727,0.000113122,0.285055376
Cameroon,40000,0,430,0,0,5018,51,400,0,554952283,0,0,6224187,0,0,7,12500,495458,1.38925E+11,987,0,77589,20,18,2,0,0,0,475440,35,21,10528476,51,30966105,37,52,6,6,0,40086,83,82,86,2.78E-06,0.003994618,Africa,Africa,Non-NATO,0.006426542,13873.80708,0.34000001,0,0.1275,0.000875,0.165270066
Canada,68000,0,21704,0,0,8893,24,202080,0,41000000000,0,66,13500595,12,0,284,5500,426743,2.238E+12,4942,27000,1042300,0,0,33,4,6,74,9984670,351,145,16681770,73,38794813,1425,0,95,28,636,68498,61,60,498,1.28E-05,0.018319929,North America,North America,NATO,0.007036727,602941.1765,0.430000011,7.41E-06,0.000361243,0.005161765,0.104948686
Central African Republic,10000,0,228,6,0,5920,0,0,0,45990000,0,0,1254512,0,0,0,1000,101717,5849000000,0,0,24000,0,0,0,0,0,0,622984,6,0,2203873,0,5650957,43,0,0,0,2800,10006,124,123,6,1.06E-06,0.007862883,Africa,Africa,Non-NATO,0.007971227,4599,0.389999959,0,,0.0006,0.043018761
Chad,33250,0,3316,7,3,6406,0,0,0,381350000,0,0,3856906,0,0,0,5000,381872,32446000000,0,0,40000,20,10,2,0,0,90,1284000,40,16,6873694,0,19093595,42,10,8,7,12400,33380,88,87,130,6.81E-06,0.011753375,Africa,Africa,Non-NATO,0.0086209,11469.17293,0.35999999,7.01E-05,,0.001203008,0.040809969
Chile,80000,0,8832,0,0,7801,40,6435,0,5032500000,0,45,7521855,8,0,39,50000,298634,5.79201E+11,7282,40000,77801,8,48,21,4,5,386,756102,277,87,8959033,130,18664652,374,249,92,32,12290,80793,58,57,793,4.25E-05,0.008688694,South America,South America,Non-NATO,0.015953511,62906.25,0.480000002,0.000510513,0.02020202,0.0034625,0.128782889
China,2035000,3,144017,371,281,22457,150,14500,72,2.6685E+11,50,1212,626864169,47,4,66,625000,19810606,3.1227E+13,150000,510000,5200000,2750,3490,112,61,10,6800,9596960,3309,913,764123366,754,1415043270,531,1000,402,289,27700,2045863,1,0,10863,7.68E-06,0.008545489,Asia,Asia,Non-NATO,0.004059891,131130.2211,0.54,0.000708558,0.052,0.001626044,0.560354529
Colombia,293200,0,3460,24,0,6672,217,3208,2,10541500000,0,16,19190694,7,0,14,150000,843002,9.78024E+11,2141,35000,205379,0,6,23,4,1,0,1138910,436,257,24298295,233,49588357,662,110,72,86,24725,293869,19,18,669,1.35E-05,0.010778365,South America,South America,Non-NATO,0.017102039,35953.27422,0.490000001,0,0.072630923,0.00148704,0.203918659
Croatia,14325,0,2848,0,0,2237,10,5835,0,1176000000,0,10,1564594,0,0,16,2000,53952,1.59305E+11,2617,20100,26958,42,25,0,0,0,45,56594,67,37,2033557,30,4150116,40,42,28,0,4714,14467,117,116,142,3.42E-05,0.007382066,Europe,Europe,NATO,0.022002513,82094.24084,0.490000039,0.000795137,0.005141388,0.004677138,0.605876948
Cuba,45500,0,6864,0,4,29,6,3735,1,4508784000,0,11,4737328,1,0,34,1145000,142558,1.414E+11,8367,40000,60000,15,60,0,0,0,113,110860,31,13,5921661,19,10966038,123,130,3,4,240,45663,75,74,163,1.49E-05,0.031886733,North America,North America,Non-NATO,0.018048149,99094.15385,0.540000044,0.001019304,0.005087015,0.000681319,0.618861627
Czechia,28000,0,6340,16,4,2046,0,0,0,6750000000,0,12,4129236,0,0,0,0,97541,5.19007E+11,9548,4200,55744,16,50,2,0,0,43,78867,99,42,5093808,0,10837890,243,0,17,10,664,28142,92,91,142,1.31E-05,0.013005605,Europe,Europe,NATO,0.007798053,241071.4286,0.469999972,0.000545222,,0.003535714,0.836294014
Democratic Republic of the Congo,166580,0,916,6,8,10481,16,37,0,796560000,0,1,31389623,0,0,3,10000,2538867,1.54012E+11,4007,31000,152373,25,8,0,0,0,105,2344858,46,32,39237029,16,115403027,272,60,1,6,15000,166747,34,33,167,1.45E-06,0.005172065,Africa,Africa,Non-NATO,0.006294437,4781.84656,0.339999998,4.48E-05,0.432432432,0.000276144,0.073087581
Denmark,20000,0,3856,4,0,140,9,7314,0,7225466250,0,31,2126436,9,0,69,51000,77651,4.28385E+11,2682,12000,74558,8,19,3,0,0,44,43094,117,34,2628180,50,5973136,99,0,41,4,400,20211,107,106,211,3.53E-05,0.016866758,Europe,Europe,NATO,0.015048654,361273.3125,0.440000027,0.001021024,0.006836205,0.00585,1.80164292
