country,region,continent,alliances,metric,value
Eritrea,East Africa,Africa,AFRICAN_UNION,total_population_by_country,6343956.0
Kyrgyzstan,Central Asia,Asia,SCO,total_population_by_country,6172101.0
Republic of the Congo,Central Africa,Africa,AFRICAN_UNION,total_population_by_country,6097665.0
Singapore,Southeast Asia,Asia,ASEAN,total_population_by_country,6028459.0
Denmark,Northern Europe,Europe,"NATO, EU",total_population_by_country,5973136.0
Turkmenistan,Central Asia,Asia,None,total_population_by_country,5744151.0
Central African Republic,Central Africa,Africa,AFRICAN_UNION,total_population_by_country,5650957.0
Finland,Northern Europe,Europe,"NATO, EU",total_population_by_country,5626414.0
Slovakia,Eastern Europe,Europe,"NATO, EU",total_population_by_country,5563649.0
Norway,Northern Europe,Europe,NATO,total_population_by_country,5509733.0
Liberia,West Africa,Africa,AFRICAN_UNION,total_population_by_country,5437249.0
Lebanon,Middle East,Asia,ARAB_LEAGUE,total_population_by_country,5364482.0
Ireland,Western Europe,Europe,EU,total_population_by_country,5233461.0
New Zealand,Oceania,Oceania,FIVE_EYES,total_population_by_country,5161211.0
Georgia,Eastern Europe,Europe,None,total_population_by_country,4900961.0
Panama,Central America,North America,None,total_population_by_country,4470241.0
Mauritania,West Africa,Africa,"ARAB_LEAGUE, AFRICAN_UNION",total_population_by_country,4328040.0
Croatia,Southern Europe,Europe,"NATO, EU",total_population_by_country,4150116.0
Oman,Middle East,Asia,ARAB_LEAGUE,total_population_by_country,3901992.0
Bosnia and Herzegovina,Eastern Europe,Europe,None,total_population_by_country,3798671.0
Moldova,Eastern Europe,Europe,None,total_population_by_country,3599528.0
Uruguay,South America,South America,None,total_population_by_country,3425330.0
Mongolia,East Asia,Asia,None,total_population_by_country,3281676.0
Kuwait,Middle East,Asia,ARAB_LEAGUE,total_population_by_country,3138355.0
Albania,Southern Europe,Europe,NATO,total_population_by_country,3107100.0
Armenia,Eastern Europe,Europe,None,total_population_by_country,2976765.0
Namibia,Southern Africa,Africa,AFRICAN_UNION,total_population_by_country,2803660.0
Lithuania,Northern Europe,Europe,"NATO, EU",total_population_by_country,2628186.0
Qatar,Middle East,Asia,ARAB_LEAGUE,total_population_by_country,2552088.0
Gabon,Central Africa,Africa,AFRICAN_UNION,total_population_by_country,2455105.0
Botswana,Southern Africa,Africa,AFRICAN_UNION,total_population_by_country,2450668.0
North Macedonia,Eastern Europe,Europe,NATO,total_population_by_country,2135622.0
Slovenia,Southern Europe,Europe,"NATO, EU",total_population_by_country,2097893.0
Kosovo,Eastern Europe,Europe,None,total_population_by_country,1977093.0
Latvia,Northern Europe,Europe,"NATO, EU",total_population_by_country,1801246.0
