overall_rank,country,manpower_norm,air_power_norm,land_power_norm,naval_power_norm,logistics_power_norm,energy_power_norm,geographical_power_norm,economic_power_norm,debt_norm,budget_to_gdp_norm,assets_per_capita_norm,is_nato,is_eu,is_brics,overall_power_index,power_rank_gap
81,Latvia,0.0010898201701420088,0.0005112474437627812,0.004747862209271736,8.395939052199232e-06,0.010521943710412643,1.68559942278866e-05,0.0038676611799724012,0.002210639507896412,0.9883781741273923,0.09818968919025445,0.050643123671550654,1,1,0,0.1157974773636039,80
82,Yemen,0.015518171423920365,0.006463628396143733,0.0014406442059795503,1.127454672723897e-05,0.010343979040747242,0.009807754316214983,0.030791755555609628,0.0019672241838956956,0.9982279466551408,0.07425279134850007,0.0067665670621854575,0,0,0,0.1153624512551169,81
83,Eritrea,0.002931599998475496,0.001679813029506281,0.0026182142526063133,9.8352428897191e-06,0.0023661475257548787,8.140328094494e-11,0.007049355219856524,0.0002897960343121736,0.9987739691452537,0.12529301575702745,0.0074469736250977496,0,0,0,0.11481689238778717,82
84,Serbia,0.004625858822656458,0.0081799591002045,0.010730920233409416,7.676287133439298e-06,0.0069017829219422035,0.0012026601519561774,0.00465710275521251,0.005496489679368568,0.9959383635555835,0.08657469788927338,0.026659051504519127,0,0,0,0.11454780732218908,83
85,Czechia,0.006614565582351406,0.007376570260005843,0.016157764320629774,0.0,0.009497487480881117,0.0003150022468102275,0.004726278833359926,0.019291705665389677,0.9923833370352445,0.07984606173257168,0.026101932263184188,0,0,0,0.11430189997550386,84
86,Syria,0.020833151855293462,0.01570260005842828,0.03118806795831903,1.127454672723897e-05,0.010433106297949378,0.005074726526961293,0.01105965585074931,0.0016190192519062447,0.9985579500795019,0.03203258668915195,0.016976580051334712,0,0,0,0.11418696999144165,85
87,Bolivia,0.006961540161038183,0.0047838153666374525,0.0026307415935278747,2.8066424831637434e-05,0.013696323290502976,0.006513220063090595,0.06464736248531457,0.0034952814391064437,0.998213817510072,0.028199479452404797,0.01477767405305375,0,0,0,0.1140452040400474,86
88,Niger,0.009671761055612073,0.0018624014022787028,0.0011424934920463913,0.0,0.0027499019600170775,6.111351316941371e-06,0.07376081832171882,0.0013263957867089284,0.9983853719582341,0.04634725330518925,0.003037347407639987,0,0,0,0.11369634602540532,87
89,Kenya,0.025881402797462323,0.011466549810108093,0.01099148892457789,7.196519187599342e-06,0.0240094338665607,2.6191505644034446e-08,0.033855722802532656,0.009235693518967376,0.9981814153401805,0.025556965324180586,0.00668780956886405,0,0,0,0.11366380111451599,88
90,Tanzania,0.013821097119047466,0.0028483786152497807,0.0028412009210101044,5.277447404239517e-06,0.021723138566364156,0.00023489671732093202,0.05520673971984963,0.006901804927909121,0.99848186049628,0.03690029010745719,0.003423532624513014,0,0,0,0.11354864123344965,89
