country,continent,region,is_nato,overall_rank,kpi_name,kpi_value
Kuwait,Other,Other,0,48,assets_per_capita,0.002014112
Albania,Other,Other,1,107,assets_per_capita,0.000611181
Armenia,Other,Other,0,96,assets_per_capita,0.000511293
Namibia,Other,Other,0,109,assets_per_capita,0.000768281
Lithuania,Other,Other,1,100,assets_per_capita,0.000490833
Qatar,Other,Other,0,49,assets_per_capita,0.002182135
Gabon,Other,Other,0,131,assets_per_capita,0.000190623
Botswana,Other,Other,0,133,assets_per_capita,0.000542709
North Macedonia,Other,Other,1,122,assets_per_capita,0.000542231
Slovenia,Other,Other,1,125,assets_per_capita,0.000733593
Kosovo,Other,Other,0,140,assets_per_capita,0.00037277
Latvia,Other,Other,1,103,assets_per_capita,0.001043722
Bahrain,Other,Other,0,63,assets_per_capita,0.002035883
Estonia,Other,Other,1,110,assets_per_capita,0.001424873
Bhutan,Other,Other,0,144,assets_per_capita,9.95E-05
Luxembourg,Other,Other,1,145,assets_per_capita,0.000272624
Suriname,Other,Other,0,114,assets_per_capita,0.001040575
Montenegro,Other,Other,1,117,assets_per_capita,0.000845213
Beliz,Other,Other,0,130,assets_per_capita,0.000341519
Iceland,Other,Other,1,143,assets_per_capita,0.000412047
China,Asia,Asia,0,2,budget_to_gdp_ratio,0.008545489
India,Asia,Asia,0,4,budget_to_gdp_ratio,0.005723443
United States,North America,Americas,1,1,budget_to_gdp_ratio,0.03629065
Indonesia,Other,Other,0,10,budget_to_gdp_ratio,0.002713774
Pakistan,Other,Other,0,17,budget_to_gdp_ratio,0.005671863
Nigeria,Other,Other,0,40,budget_to_gdp_ratio,0.002478431
Brazil,Other,Other,0,29,budget_to_gdp_ratio,0.006513272
Bangladesh,Other,Other,0,6,budget_to_gdp_ratio,0.003095541
Russia,Europe,Europe,0,3,budget_to_gdp_ratio,0.021664374
Mexico,Other,Other,0,25,budget_to_gdp_ratio,0.002645318
Japan,Asia,Asia,0,8,budget_to_gdp_ratio,0.009894116
Ethiopia,Other,Other,0,93,budget_to_gdp_ratio,0.00591526
Philippines,Other,Other,0,28,budget_to_gdp_ratio,0.003848858
Democratic Republic of the Congo,Other,Other,0,88,budget_to_gdp_ratio,0.005172065
Egypt,Other,Other,0,16,budget_to_gdp_ratio,0.003075052
Vietnam,Other,Other,0,7,budget_to_gdp_ratio,0.00634712
Iran,Other,Other,0,18,budget_to_gdp_ratio,0.010729167
Turkiye,Other,Other,0,12,budget_to_gdp_ratio,0.016008174
Germany,Europe,Europe,1,24,budget_to_gdp_ratio,0.009560229
Thailand,Other,Other,0,15,budget_to_gdp_ratio,0.003883828
United Kingdom,Europe,Europe,1,22,budget_to_gdp_ratio,0.01932447
France,Europe,Europe,1,13,budget_to_gdp_ratio,0.014612115
Tanzania,Other,Other,0,104,budget_to_gdp_ratio,0.006010448
Italy,Other,Other,1,14,budget_to_gdp_ratio,0.009974169
South Africa,Other,Other,0,50,budget_to_gdp_ratio,0.002626709
Kenya,Other,Other,0,83,budget_to_gdp_ratio,0.004162808
Myanmar,Other,Other,0,31,budget_to_gdp_ratio,0.010147776
South Korea,Other,Other,0,5,budget_to_gdp_ratio,0.017705545
Sudan,Other,Other,0,89,budget_to_gdp_ratio,0.002513985
Colombia,Other,Other,0,26,budget_to_gdp_ratio,0.010778365
Uganda,Other,Other,0,115,budget_to_gdp_ratio,0.007263319
Spain,Other,Other,1,35,budget_to_gdp_ratio,0.010435772
Algeria,Other,Other,0,32,budget_to_gdp_ratio,0.03571699
Argentina,Other,Other,0,52,budget_to_gdp_ratio,0.000752143
Iraq,Other,Other,0,38,budget_to_gdp_ratio,0.013828697
Afghanistan,Other,Other,0,111,budget_to_gdp_ratio,0.005294608
Canada,North America,Americas,1,45,budget_to_gdp_ratio,0.018319929
Poland,Other,Other,1,37,budget_to_gdp_ratio,0.030136139
Morocco,Other,Other,0,41,budget_to_gdp_ratio,0.039706057
Angola,Other,Other,0,69,budget_to_gdp_ratio,0.004142507
Saudi Arabia,Other,Other,0,34,budget_to_gdp_ratio,0.040830147
Uzbekistan,Other,Other,0,101,budget_to_gdp_ratio,0.00878361
Ukraine,Other,Other,0,19,budget_to_gdp_ratio,0.095896111
Ghana,Other,Other,0,98,budget_to_gdp_ratio,0.001343413
Malaysia,Other,Other,0,44,budget_to_gdp_ratio,0.004166667
Mozambique,Other,Other,0,95,budget_to_gdp_ratio,0.008145207
Peru,Other,Other,0,46,budget_to_gdp_ratio,0.006606857
Yemen,Other,Other,0,85,budget_to_gdp_ratio,0.012094554
Venezuela,Other,Other,0,58,budget_to_gdp_ratio,0.013829285
Nepal,Other,Other,0,116,budget_to_gdp_ratio,0.002834869
Cameroon,Other,Other,0,74,budget_to_gdp_ratio,0.003994618
Ivory Coast,Other,Other,0,127,budget_to_gdp_ratio,0.003302464
Madagascar,Other,Other,0,128,budget_to_gdp_ratio,0.00218925
Australia,Oceania,Oceania,0,51,budget_to_gdp_ratio,0.035164141
Niger,Other,Other,0,137,budget_to_gdp_ratio,0.007549202
North Korea,Other,Other,0,11,budget_to_gdp_ratio,0.065777778
Syria,Other,Other,0,65,budget_to_gdp_ratio,0.005217579
Taiwan,Other,Other,0,9,budget_to_gdp_ratio,0.01570031
Burkina Faso,Other,Other,0,139,budget_to_gdp_ratio,0.001422172
Mali,Other,Other,0,132,budget_to_gdp_ratio,0.011363431
Sri Lanka,Other,Other,0,27,budget_to_gdp_ratio,0.004407032
Zambia,Other,Other,0,135,budget_to_gdp_ratio,0.005153936
Kazakhstan,Other,Other,0,64,budget_to_gdp_ratio,0.002903816
Chad,Other,Other,0,121,budget_to_gdp_ratio,0.011753375
Senegal,Other,Other,0,124,budget_to_gdp_ratio,0.006011088
Chile,Other,Other,0,42,budget_to_gdp_ratio,0.008688694
Ecuador,Other,Other,0,72,budget_to_gdp_ratio,0.009130981
Guatemala,Other,Other,0,77,budget_to_gdp_ratio,0.001830941
Romania,Other,Other,1,67,budget_to_gdp_ratio,0.012563026
Netherlands,Other,Other,1,60,budget_to_gdp_ratio,0.021774194
Zimbabwe,Other,Other,0,123,budget_to_gdp_ratio,0.009060649
Cambodia,Other,Other,0,75,budget_to_gdp_ratio,0.010011641
Benin,Other,Other,0,141,budget_to_gdp_ratio,0.001872977
Somalia,Other,Other,0,120,budget_to_gdp_ratio,0.006489406
South Sudan,Other,Other,0,108,budget_to_gdp_ratio,0.00876062
Bolivia,Other,Other,0,68,budget_to_gdp_ratio,0.00459323
Tunisia,Other,Other,0,61,budget_to_gdp_ratio,0.009112388
Belgium,Other,Other,1,97,budget_to_gdp_ratio,0.013571193
Jordan,Other,Other,0,56,budget_to_gdp_ratio,0.023406925
Cuba,Other,Other,0,47,budget_to_gdp_ratio,0.031886733
Czechia,Other,Other,0,81,budget_to_gdp_ratio,0.013005605
Dominican Republic,Other,Other,0,82,budget_to_gdp_ratio,0.003099199
Azerbaijan,Other,Other,0,54,budget_to_gdp_ratio,0.023159299
Portugal,Other,Other,1,36,budget_to_gdp_ratio,0.00873182
Sweden,Other,Other,1,23,budget_to_gdp_ratio,0.019220732
Greece,Other,Other,1,21,budget_to_gdp_ratio,0.017297355
Tajikistan,Other,Other,0,71,budget_to_gdp_ratio,0.009598209
United Arab Emirates,Other,Other,0,30,budget_to_gdp_ratio,0.003073863
Hungary,Other,Other,1,94,budget_to_gdp_ratio,0.011766339
Honduras,Other,Other,0,53,budget_to_gdp_ratio,0.006007422
Belarus,Other,Other,0,78,budget_to_gdp_ratio,0.004236912
Israel,Other,Other,0,33,budget_to_gdp_ratio,0.064751714
Sierra Leone,Other,Other,0,129,budget_to_gdp_ratio,0.015622224
Austria,Other,Other,0,92,budget_to_gdp_ratio,0.009275367
Switzerland,Other,Other,0,39,budget_to_gdp_ratio,0.034123353
Laos,Other,Other,0,70,budget_to_gdp_ratio,0.002103688
Paraguay,Other,Other,0,57,budget_to_gdp_ratio,0.162883487
Libya,Other,Other,0,84,budget_to_gdp_ratio,0.025092045
Bulgaria,Other,Other,1,73,budget_to_gdp_ratio,0.006415143
Nicaragua,Other,Other,0,99,budget_to_gdp_ratio,0.001800814
Serbia,Other,Other,0,55,budget_to_gdp_ratio,0.014101589
El Salvador,Other,Other,0,106,budget_to_gdp_ratio,0.004650277
Eritrea,Other,Other,0,80,budget_to_gdp_ratio,0.020408163
Kyrgyzstan,Other,Other,0,86,budget_to_gdp_ratio,0.004878907
Republic of the Congo,Other,Other,0,136,budget_to_gdp_ratio,0.008028719
Singapore,Other,Other,0,43,budget_to_gdp_ratio,0.01987392
Denmark,Other,Other,1,62,budget_to_gdp_ratio,0.016866758
Turkmenistan,Other,Other,0,91,budget_to_gdp_ratio,0.011372719
Central African Republic,Other,Other,0,142,budget_to_gdp_ratio,0.007862883
Finland,Other,Other,1,20,budget_to_gdp_ratio,0.021112152
Slovakia,Other,Other,1,119,budget_to_gdp_ratio,0.012466382
Norway,Other,Other,1,66,budget_to_gdp_ratio,0.01943835
Liberia,Other,Other,0,138,budget_to_gdp_ratio,0.041062584
Lebanon,Other,Other,0,59,budget_to_gdp_ratio,0.011672344
Ireland,Other,Other,0,118,budget_to_gdp_ratio,0.002465228
New Zealand,Other,Other,0,113,budget_to_gdp_ratio,0.01189308
Georgia,Other,Other,0,79,budget_to_gdp_ratio,0.005924609
Panama,Other,Other,0,90,budget_to_gdp_ratio,0.005737282
Mauritania,Other,Other,0,112,budget_to_gdp_ratio,0.008595164
Croatia,Other,Other,1,87,budget_to_gdp_ratio,0.007382066
Oman,Other,Other,0,76,budget_to_gdp_ratio,0.044095504
Bosnia and Herzegovina,Other,Other,0,134,budget_to_gdp_ratio,0.003393498
Moldova,Other,Other,0,126,budget_to_gdp_ratio,0.043881034
Uruguay,Other,Other,0,105,budget_to_gdp_ratio,0.007349471
Mongolia,Other,Other,0,102,budget_to_gdp_ratio,0.002934559
Kuwait,Other,Other,0,48,budget_to_gdp_ratio,0.031726468
Albania,Other,Other,1,107,budget_to_gdp_ratio,0.011269205
Armenia,Other,Other,0,96,budget_to_gdp_ratio,0.029448448
Namibia,Other,Other,0,109,budget_to_gdp_ratio,0.012373096
Lithuania,Other,Other,1,100,budget_to_gdp_ratio,0.018000633
Qatar,Other,Other,0,49,budget_to_gdp_ratio,0.030927328
Gabon,Other,Other,0,131,budget_to_gdp_ratio,0.005701541
Botswana,Other,Other,0,133,budget_to_gdp_ratio,0.009961063
North Macedonia,Other,Other,1,122,budget_to_gdp_ratio,0.009151392
Slovenia,Other,Other,1,125,budget_to_gdp_ratio,0.008691638
Kosovo,Other,Other,0,140,budget_to_gdp_ratio,0.01095718
Latvia,Other,Other,1,103,budget_to_gdp_ratio,0.015993479
Bahrain,Other,Other,0,63,budget_to_gdp_ratio,0.018682668
Estonia,Other,Other,1,110,budget_to_gdp_ratio,0.025504296
Bhutan,Other,Other,0,144,budget_to_gdp_ratio,0.001274929
Luxembourg,Other,Other,1,145,budget_to_gdp_ratio,0.008201382
Suriname,Other,Other,0,114,budget_to_gdp_ratio,0.01217862
Montenegro,Other,Other,1,117,budget_to_gdp_ratio,0.008653228
Beliz,Other,Other,0,130,budget_to_gdp_ratio,0.005618794
Iceland,Other,Other,1,143,budget_to_gdp_ratio,0.011944179
China,Asia,Asia,0,2,overall_power_index,0.614964432
India,Asia,Asia,0,4,overall_power_index,0.374966479
United States,North America,Americas,1,1,overall_power_index,0.667595936
Indonesia,Other,Other,0,10,overall_power_index,0.144245488
Pakistan,Other,Other,0,17,overall_power_index,0.112998317
Nigeria,Other,Other,0,40,overall_power_index,0.053005704
Brazil,Other,Other,0,29,overall_power_index,0.082477137
Bangladesh,Other,Other,0,6,overall_power_index,0.241987727
Russia,Europe,Europe,0,3,overall_power_index,0.392679557
Mexico,Other,Other,0,25,overall_power_index,0.090718676
Japan,Asia,Asia,0,8,overall_power_index,0.162563364
Ethiopia,Other,Other,0,93,overall_power_index,0.010372472
Philippines,Other,Other,0,28,overall_power_index,0.085114564
Democratic Republic of the Congo,Other,Other,0,88,overall_power_index,0.011843248
Egypt,Other,Other,0,16,overall_power_index,0.115826576
Vietnam,Other,Other,0,7,overall_power_index,0.213799919
Iran,Other,Other,0,18,overall_power_index,0.11262334
Turkiye,Other,Other,0,12,overall_power_index,0.13391993
Germany,Europe,Europe,1,24,overall_power_index,0.093837524
Thailand,Other,Other,0,15,overall_power_index,0.124032102
United Kingdom,Europe,Europe,1,22,overall_power_index,0.103051206
France,Europe,Europe,1,13,overall_power_index,0.131761345
Tanzania,Other,Other,0,104,overall_power_index,0.007933469
Italy,Other,Other,1,14,overall_power_index,0.12415322
South Africa,Other,Other,0,50,overall_power_index,0.033290944
Kenya,Other,Other,0,83,overall_power_index,0.013470907
Myanmar,Other,Other,0,31,overall_power_index,0.076320562
South Korea,Other,Other,0,5,overall_power_index,0.255162958
Sudan,Other,Other,0,89,overall_power_index,0.011488339
Colombia,Other,Other,0,26,overall_power_index,0.088414018
Uganda,Other,Other,0,115,overall_power_index,0.004766317
Spain,Other,Other,1,35,overall_power_index,0.069326463
Algeria,Other,Other,0,32,overall_power_index,0.076279454
Argentina,Other,Other,0,52,overall_power_index,0.031349943
Iraq,Other,Other,0,38,overall_power_index,0.059153525
Afghanistan,Other,Other,0,111,overall_power_index,0.005555324
Canada,North America,Americas,1,45,overall_power_index,0.046946939
Poland,Other,Other,1,37,overall_power_index,0.066487042
Morocco,Other,Other,0,41,overall_power_index,0.051806163
Angola,Other,Other,0,69,overall_power_index,0.020045233
Saudi Arabia,Other,Other,0,34,overall_power_index,0.071872553
Uzbekistan,Other,Other,0,101,overall_power_index,0.008971051
Ukraine,Other,Other,0,19,overall_power_index,0.107555867
Ghana,Other,Other,0,98,overall_power_index,0.009310984
Malaysia,Other,Other,0,44,overall_power_index,0.049301891
Mozambique,Other,Other,0,95,overall_power_index,0.010171261
Peru,Other,Other,0,46,overall_power_index,0.046556993
Yemen,Other,Other,0,85,overall_power_index,0.012832285
Venezuela,Other,Other,0,58,overall_power_index,0.027407778
Nepal,Other,Other,0,116,overall_power_index,0.004678789
Cameroon,Other,Other,0,74,overall_power_index,0.016228906
Ivory Coast,Other,Other,0,127,overall_power_index,0.00267057
Madagascar,Other,Other,0,128,overall_power_index,0.002552185
Australia,Oceania,Oceania,0,51,overall_power_index,0.032644598
