country,power_rank,power_index,population,total_military_personnel,active_personnel,reserve_personnel,aircraft,helicopters,tanks,naval_assets,defense_budget
Gabon,132,3.0432,2455105,932940,5000,0,25,16,0,5,340950000
Bosnia and Herzegovina,133,3.1291,3798671,2355176,18000,8000,15,15,45,0,289920000
Iceland,134,3.4013,364036,83728,0,0,0,0,0,0,500000000
Panama,135,3.5011,4470241,2011608,16300,0,38,23,0,22,1069750000
Moldova,136,3.6225,3599528,2159717,6500,2000,3,2,0,0,114114000
Somalia,137,3.7393,13017273,2993973,30000,0,6,6,0,19,870000000
Benin,138,3.8963,14697052,5584880,4750,0,7,5,0,2,137690000
Kosovo,139,3.8041,1977093,917371,4000,5000,0,0,0,0,1177450000
Sierra Leone,140,3.9201,9121049,2006631,13000,0,1,1,0,10,450000000
Liberia,141,3.9275,5437249,2392390,2100,0,0,0,0,6,20700000
Suriname,142,4.0538,646758,142287,2500,0,3,3,0,17,58440000
Central African Republic,143,4.2381,5650957,2203873,30000,0,8,0,0,0,300000000
Beliz,144,4.3602,415789,158000,2000,850,3,1,0,15,34400000
Bhutan,145,5.7991,884546,203446,16000,50000,2,2,0,0,26600000
