global_rank,country_name,active-reserve-military-manpower,aircraft-helicopters-attack,aircraft-helicopters-total,aircraft-total,aircraft-total-fighters,aircraft-total-transports,armor-apc-total,armor-tanks-total,border-coverage,coal-consumption-by-country,coal-production-by-country,coastline-coverage,external-debt-by-country,labor-force-by-country,major-serviceable-airports-by-country,manpower-fit-for-military-service,manpower-paramilitary,manpower-reaching-military-age-annually,natural-gas-production-by-country,navy-aircraft-carriers,navy-force-by-tonnage,navy-frigates,navy-helo-carriers,navy-mine-warfare-craft,navy-ships,navy-submarines,oil-consumption-by-country,oil-production-by-country,proven-coal-reserves-by-country,proven-natural-gas-reserves-by-country,proven-oil-reserves-by-country,purchasing-power-parity,railway-coverage,reserves-of-foreign-exchange-and-gold,roadway-coverage,total-population-by-country,waterway-coverage
33,Iraq,0,39,197,391,26,15,37288,1025,3809,0,0.0,58,45032500000,11812000,71,14308368,100000,715418,9860000000.0,0,124962.0,0,0,0,68,0,918000,4437000,0.0,3729000000000.0,145019000000,572939000000,2272,112233000000,59623,42083436,5279
34,Colombia,35000,0,257,436,16,86,3460,0,6672,7880000,58747000.0,3208,116779500000,26003000,662,19190694,150000,843002,11290000000.0,0,31090.0,7,0,0,233,4,320000,800000,4554000000.0,87782000000.0,2036000000,978024000000,2141,59041000000,205379,49588357,24725
35,Ukraine,1200000,39,136,324,70,24,18920,1114,5581,10953000,4248000.0,2782,132000000000,20312000,148,12731272,100000,392280,18725000000.0,0,28138.0,0,0,3,89,0,248000,3000,34375000000.0,1104000000000.0,395000000,559981000000,21733,40510000000,169694,35661826,1672
36,Argentina,0,0,94,239,23,52,21724,342,11968,3391000,1318000.0,4989,178940000000,21906000,756,17575900,20000,704916,43280000000.0,0,122128.0,0,0,0,44,2,706000,807000,799999000.0,396464000000.0,2483000000,1235000000000,17866,23081000000,281290,46994384,11000
37,Myanmar,20000,9,83,317,58,30,5980,445,6522,1453000,1268000.0,1930,7253400000,22884000,73,21975367,55000,1035489,16780000000.0,0,89240.0,6,0,2,232,3,148000,7000,252000000.0,637129000000.0,139000000,290507000000,5031,8590400000,157000,57527139,12800
38,United Arab Emirates,130000,30,247,551,99,37,8707,354,1066,3273000,0.0,1318,264000000000,6668000,42,4945881,12000,80258,56683000000.0,0,44188.0,0,0,2,181,0,939000,4146000,0.0,6091000000.0,97800000000,719733000000,0,189491000000,4080,10032213,0
39,Finland,870000,0,27,163,54,11,11704,200,2563,4141000,808000.0,1250,660000000000,2880000,98,1912981,53800,56264,0.0,0,19434.0,0,0,18,264,0,175000,8000,0.0,0.0,0,321126000000,5918,16929000000,454000,5626414,8000
40,Chile,40000,0,87,277,45,32,8832,386,7801,8637000,499000.0,6435,214500000000,9848000,374,7521855,50000,298634,1200000000.0,0,176065.0,8,0,0,130,4,405000,11000,1181000000.0,97976000000.0,150000000,579201000000,7282,46377000000,77801,18664652,12290
41,Philippines,1200000,2,122,202,0,26,11878,10,0,37130000,14483000.0,36289,90200000000,49477000,246,41751803,35000,2128987,2251000000.0,0,76313.0,2,0,0,113,0,453000,10000,361000000.0,98543000000.0,138500000,1138000000000,77,103742000000,216387,118277063,3219
42,South Africa,29350,10,87,182,2,12,18692,252,5244,176148000,245467000.0,2798,58773000000,25158000,575,14989776,50000,1027525,59128000.0,0,40186.0,4,0,2,49,3,601000,95000,9893000000.0,0.0,15000000,862981000000,20986,62492000000,750000,60442647,0
