Country,Total Population,Total Military Personnel,Active Personnel,Reserve Personnel,Total Aircraft Strength,Total Helicopter Strength,Total Tank Strength,Total Naval Assets,Defense Budget
Afghanistan,40121552,15647405,0,0,9,6,0,0,290000000
Niger,26342784,7902835,25000,0,26,13,0,0,336400000
Eritrea,6343956,2220385,120000,130000,20,13,65,23,198000000
Republic of the Congo,6097665,2256136,8500,0,13,7,30,4,306400000
Botswana,2450668,1029281,21000,0,45,16,45,0,465600000
Mauritania,4328040,1687936,31540,66000,24,4,25,6,261250000
Dominican Republic,10815857,4975294,50000,0,79,50,5,34,810800000
Senegal,18847519,7162057,17000,0,40,20,0,4,465150000
Nepal,31122387,15249970,95000,0,15,10,0,0,409100000
Montenegro,599849,143964,2350,0,11,11,0,14,148100000
El Salvador,6628702,3181777,25000,10000,52,30,0,14,334620000
Burkina Faso,23042199,8525614,12000,0,25,18,0,0,81280000
Madagascar,29452714,11192031,13500,0,5,5,6,6,112210000
Nicaragua,6676948,3271705,45000,0,17,11,89,23,92000000
Bosnia and Herzegovina,3798671,2355176,12770,6000,22,22,45,0,216400000
Gabon,2455105,932940,4800,0,24,15,0,5,274820000
Moldova,3599528,2159717,8500,67000,3,2,0,0,1710000000
Iceland,364036,83728,0,0,0,0,0,0,312400000
Panama,4470241,2011608,0,0,38,23,0,30,917202000
Beliz,415789,158000,1650,850,3,1,0,8,29538000
Liberia,5437249,2392390,1500,0,0,0,0,4,364800000
Suriname,646758,142287,2000,0,3,3,0,17,144000000
Sierra Leone,9121049,2006631,13000,0,1,1,0,7,228600000
Kosovo,1977093,917371,10000,5000,0,0,0,0,260715150
Somalia,13017273,2993973,15000,0,0,0,0,10,171002350
Central African Republic,5650957,2203873,10000,0,6,0,0,0,45990000
Benin,14697052,5584880,4750,0,5,5,0,2,98350000
Bhutan,884546,203446,7500,0,2,2,0,0,14000000
