country,total_population_by_country,total_population_by_country_rank,available_military_manpower,available_military_manpower_rank,manpower_fit_for_military_service,manpower_fit_for_military_service_rank,manpower_reaching_military_age_annually,manpower_reaching_military_age_annually_rank,active_military_manpower,active_military_manpower_rank,active_reserve_military_manpower,active_reserve_military_manpower_rank,manpower_paramilitary,manpower_paramilitary_rank,aircraft_total,aircraft_total_rank,aircraft_total_fighters,aircraft_total_fighters_rank,aircraft_total_attack_types,aircraft_total_attack_types_rank,aircraft_total_transports,aircraft_total_transports_rank,aircraft_total_trainers,aircraft_total_trainers_rank,aircraft_total_special_mission,aircraft_total_special_mission_rank,aircraft_total_tanker_fleet,aircraft_total_tanker_fleet_rank,aircraft_helicopters_total,aircraft_helicopters_total_rank,aircraft_helicopters_attack,aircraft_helicopters_attack_rank,armor_tanks_total,armor_tanks_total_rank,armor_apc_total,armor_apc_total_rank,armor_self_propelled_guns_total,armor_self_propelled_guns_total_rank,armor_towed_artillery_total,armor_towed_artillery_total_rank,armor_mlrs_total,armor_mlrs_total_rank,navy_ships,navy_ships_rank,navy_force_by_tonnage,navy_force_by_tonnage_rank,navy_aircraft_carriers,navy_aircraft_carriers_rank,navy_helo_carriers,navy_helo_carriers_rank,navy_submarines,navy_submarines_rank,navy_destroyers,navy_destroyers_rank,navy_frigates,navy_frigates_rank,navy_corvettes,navy_corvettes_rank,navy_patrol_coastal_craft,navy_patrol_coastal_craft_rank,navy_mine_warfare_craft,navy_mine_warfare_craft_rank,defense_spending_budget,defense_spending_budget_rank,external_debt_by_country,external_debt_by_country_rank,purchasing_power_parity,purchasing_power_parity_rank,reserves_of_foreign_exchange_and_gold,reserves_of_foreign_exchange_and_gold_rank,major_serviceable_airports_by_country,major_serviceable_airports_by_country_rank,labor_force_by_country,labor_force_by_country_rank,major_ports_and_terminals,major_ports_and_terminals_rank,merchant_marine_strength_by_country,merchant_marine_strength_by_country_rank,railway_coverage,railway_coverage_rank,roadway_coverage,roadway_coverage_rank,oil_production_by_country,oil_production_by_country_rank,oil_consumption_by_country,oil_consumption_by_country_rank,proven_oil_reserves_by_country,proven_oil_reserves_by_country_rank,natural_gas_production_by_country,natural_gas_production_by_country_rank,natural_gas_consumption_by_country,natural_gas_consumption_by_country_rank,proven_natural_gas_reserves_by_country,proven_natural_gas_reserves_by_country_rank,coal_production_by_country,coal_production_by_country_rank,coal_consumption_by_country,coal_consumption_by_country_rank,proven_coal_reserves_by_country,proven_coal_reserves_by_country_rank,square_land_area,square_land_area_rank,coastline_coverage,coastline_coverage_rank,border_coverage,border_coverage_rank,waterway_coverage,waterway_coverage_rank
Argentina,"46,994,384",34,"20,677,529",32,"17,575,900",29,"704,916",34,"108,000",48,0,98,"20,000",61,239,41,23,60,11,48,52,16,71,40,13,27,2,25,94,39,0,80,342,35,"21,724",20,55,46,172,46,26,58,44,57,"122,128",25,0,12,0,14,2,35,3,11,0,54,6,18,13,69,0,57,"$                        							928,897,000",89,"$                        							178,940,000,000",41,"$                        							1,235,000,000,000",29,"$                        							23,081,000,000",59,756,9,"21,906,000",32,37,22,201,50,"17,866                        						
							km",15,"281,290                        						
							km",21,"807,000                        						
							bbl",21,"706,000                        						
							bbl",29,"2,483,000,000                        						
							bbl",32,"43,280,000,000                        						
							Cu.M",17,"46,228,000,000                        						
							Cu.M",20,"396,464,000,000                        						
							Cu.M",31,"1,318,000                        						
							Cu.M",55,"3,391,000                        						
							mt",54,"799,999,000                        						
							Cu.M",49,"2,780,400                        						
							km",8,"4,989                        						
							km",21,"11,968                        						
							km",7,"11,000                        						
							km",14
Iraq,"42,083,436",35,"17,675,043",38,"14,308,368",36,"715,418",33,"193,000",28,0,113,"100,000",23,391,29,26,54,36,19,15,47,139,20,17,24,0,76,197,24,39,16,"1,025",17,"37,288",14,434,13,610,18,572,7,68,43,,,0,50,0,50,0,69,0,53,0,75,2,37,26,46,0,79,"$                        							7,923,000,000",37,"$                        							45,032,500,000",67,"$                        							572,939,000,000",45,"$                        							112,233,000,000",27,71,70,"11,812,000",50,6,70,74,77,"2,272                        						
							km",68,"59,623                        						
							km",76,"4,437,000                        						
							bbl",6,"918,000                        						
							bbl",24,"145,019,000,000                        						
							bbl",5,"9,860,000,000                        						
							Cu.M",40,"19,298,000,000                        						
							Cu.M",38,"3,729,000,000,000                        						
							Cu.M",11,"0                        						
							Cu.M",103,"0                        						
							mt",129,"0                        						
							Cu.M",110,"438,317                        						
							km",57,"58                        						
							km",108,"3,809                        						
							km",53,"5,279                        						
							km",25
Afghanistan,"40,121,552",36,"15,647,405",43,"8,826,741",49,"842,553",26,0,143,0,96,"80,000",28,9,127,0,93,0,68,3,105,0,117,0,79,0,32,6,128,1,76,0,113,"5,202",65,0,96,0,112,0,98,0,118,,,0,118,0,118,0,118,0,118,0,118,0,118,0,118,0,118,"$                        							290,000,000",125,"$                        							1,142,500,000",142,"$                        							54,772,700,000",117,"$                        							8,852,092,000",81,67,71,"8,921,000",60,0,111,0,124,"0                        						
							km",128,"34,903                        						
							km",91,"0                        						
							bbl",108,"2,700                        						
							bbl",143,"0                        						
							bbl",96,"80,200,000                        						
							Cu.M",73,"80,200,000                        						
							Cu.M",103,"49,554,000,000                        						
							Cu.M",56,"4,885,000                        						
							Cu.M",37,"1,545,000                        						
							mt",67,"66,000,000                        						
							Cu.M",71,"652,230                        						
							km",41,"0                        						
							km",114,"5,987                        						
							km",24,"1,200                        						
							km",59
Canada,"38,794,813",37,"16,681,770",40,"13,500,595",38,"426,743",51,"68,000",61,"27,000",72,"5,500",87,351,30,66,31,0,82,28,33,95,28,33,8,6,13,145,30,0,93,74,75,"21,704",21,0,106,0,117,0,106,73,40,"119,637",27,0,26,0,26,4,25,0,29,12,8,0,57,24,49,0,65,"$                        							41,000,000,000",15,"$                        							2,337,375,700,000",12,"$                        							2,238,000,000,000",16,"$                        							117,551,000,000",25,"1,425",5,"22,110,000",31,284,2,716,26,"4,942                        						
							km",39,"1,042,300                        						
							km",8,"5,692,000                        						
							bbl",4,"2,454,000                        						
							bbl",8,"170,300,000,000                        						
							bbl",4,"187,686,000,000                        						
							Cu.M",5,"130,316,000,000                        						
							Cu.M",5,"2,067,126,000,000                        						
							Cu.M",15,"43,024,000                        						
							Cu.M",14,"17,138,000                        						
							mt",27,"6,582,000,000                        						
							Cu.M",18,"9,984,670                        						
							km",2,"202,080                        						
							km",1,"8,893                        						
							km",9,"636                        						
							km",79
Poland,"38,746,310",38,"18,985,692",35,"15,576,017",33,"464,956",49,"202,100",25,"350,000",21,"50,000",45,479,24,59,33,44,14,49,19,105,25,11,32,0,115,216,21,29,27,614,24,"23,138",18,677,7,0,137,196,23,62,50,,,0,86,0,86,1,41,0,87,2,47,2,39,3,103,26,3,"$                        							48,700,000,000",12,"$                        							386,947,000,000",28,"$                        							1,616,000,000,000",19,"$                        							193,783,000,000",18,288,22,"18,387,000",36,10,57,152,58,"19,461                        						
							km",13,"420,000                        						
							km",18,"24,000                        						
							bbl",63,"722,000                        						
							bbl",27,"113,000,000                        						
							bbl",65,"5,551,000,000                        						
							Cu.M",43,"20,056,000,000                        						
							Cu.M",37,"91,492,000,000                        						
							Cu.M",48,"116,682,000                        						
							Cu.M",10,"123,782,000                        						
							mt",11,"28,531,000,000                        						
							Cu.M",9,"312,685                        						
							km",68,"440                        						
							km",86,"2,845                        						
							km",63,"3,997                        						
							km",30
Morocco,"37,387,585",39,"17,946,041",37,"15,254,135",34,"635,589",36,"195,800",27,"150,000",32,"50,000",43,260,37,83,26,0,112,31,29,75,35,4,47,2,26,78,48,0,124,903,18,"7,877",48,396,14,153,49,129,31,111,31,,,0,70,0,70,0,86,0,71,6,30,1,43,105,12,0,93,"$                        							13,400,000,000",27,"$                        							45,645,000,000",66,"$                        							337,480,000,000",56,"$                        							36,328,000,000",51,49,86,"12,284,000",48,12,52,94,72,"2,067                        						
							km",72,"57,300                        						
							km",79,"25                        						
							bbl",104,"318,000                        						
							bbl",41,"684,000                        						
							bbl",94,"82,595,000                        						
							Cu.M",72,"243,201,000                        						
							Cu.M",97,"1,444,000,000                        						
							Cu.M",91,"0                        						
							Cu.M",120,"11,940,000                        						
							mt",33,"96,000,000                        						
							Cu.M",68,"715,550                        						
							km",39,"1,835                        						
							km",51,"2,363                        						
							km",78,"0                        						
							km",125
Angola,"37,202,061",40,"7,440,412",67,"3,720,206",85,"372,021",58,"107,000",49,0,97,"10,000",78,298,34,71,28,12,43,31,28,66,41,2,57,0,34,116,34,15,37,309,43,"5,500",63,25,69,575,20,113,32,31,68,,,0,11,0,13,0,44,0,16,0,53,0,47,29,42,0,56,"$                        							1,101,360,000",85,"$                        							45,774,500,000",65,"$                        							265,868,000,000",64,"$                        							13,942,000,000",69,106,49,"15,223,000",41,21,33,64,83,"2,761                        						
							km",61,"26,000                        						
							km",100,"1,175,000                        						
							bbl",18,"127,000                        						
							bbl",72,"7,783,000,000                        						
							bbl",18,"5,514,000,000                        						
							Cu.M",44,"1,397,000,000                        						
							Cu.M",81,"343,002,000,000                        						
							Cu.M",33,"0                        						
							Cu.M",78,"0                        						
							mt",120,"0                        						
							Cu.M",84,"1,246,700                        						
							km",22,"1,600                        						
							km",55,"5,369                        						
							km",31,"1,300                        						
							km",55
Saudi Arabia,"36,544,431",41,"19,003,104",33,"17,468,238",30,"621,255",39,"257,000",20,0,131,"150,000",17,917,11,283,9,81,9,49,20,202,12,16,25,22,2,264,16,34,22,840,20,"19,040",25,332,19,467,26,321,12,32,67,"49,727",37,0,91,0,92,0,99,0,92,7,26,9,9,9,82,3,41,"$                        							74,760,000,000",5,"$                        							225,610,000,000",35,"$                        							1,831,000,000,000",18,"$                        							457,949,000,000",8,86,58,"16,934,000",38,16,45,433,39,"5,410                        						
							km",34,"221,372                        						
							km",24,"11,113,000                        						
							bbl",2,"3,649,000                        						
							bbl",5,"258,600,000,000                        						
							bbl",2,"121,870,000,000                        						
							Cu.M",9,"121,870,000,000                        						
							Cu.M",6,"9,423,000,000,000                        						
							Cu.M",6,"0                        						
							Cu.M",129,"164,000                        						
							mt",96,"0                        						
							Cu.M",131,"2,149,690                        						
							km",12,"2,640                        						
							km",37,"4,272                        						
							km",47,"0                        						
							km",133
Uzbekistan,"36,520,593",42,"18,990,708",34,"15,959,499",32,"730,412",32,"48,000",74,0,142,"20,000",63,192,48,58,35,13,42,13,55,7,104,0,142,0,141,101,37,34,23,340,36,"2,970",84,147,25,236,41,108,34,0,143,,,0,143,0,143,0,143,0,143,0,143,0,143,0,143,0,143,"$                        							2,803,500,000",63,"$                        							19,652,500,000",87,"$                        							319,174,000,000",58,"$                        							34,558,000,000",53,74,67,"14,270,000",45,0,143,0,144,"4,642                        						
							km",41,"86,496                        						
							km",57,"64,000                        						
							bbl",51,"91,000                        						
							bbl",84,"594,000,000                        						
							bbl",43,"47,500,000,000                        						
							Cu.M",16,"43,227,000,000                        						
							Cu.M",21,"1,841,000,000,000                        						
							Cu.M",16,"5,356,000                        						
							Cu.M",35,"7,396,000                        						
							mt",42,"1,375,000,000                        						
							Cu.M",38,"447,400                        						
							km",56,"420                        						
							km",87,"6,893                        						
							km",16,"1,100                        						
							km",63
Ukraine,"35,661,826",43,"18,187,531",36,"12,731,272",42,"392,280",55,"900,000",6,"1,200,000",6,"100,000",27,324,32,70,30,36,20,24,35,73,37,3,54,0,140,136,31,39,17,"1,114",16,"18,920",26,658,10,615,17,279,15,89,39,"28,138",44,0,112,0,111,0,114,0,112,0,113,0,114,33,40,3,42,"$                        							53,700,000,000",10,"$                        							132,000,000,000",44,"$                        							559,981,000,000",46,"$                        							40,510,000,000",50,148,34,"20,312,000",33,26,31,410,40,"21,733                        						
							km",11,"169,694                        						
							km",31,"3,000                        						
							bbl",91,"248,000                        						
							bbl",46,"395,000,000                        						
							bbl",48,"18,725,000,000                        						
							Cu.M",31,"22,856,000,000                        						
							Cu.M",33,"1,104,000,000,000                        						
							Cu.M",25,"4,248,000                        						
							Cu.M",38,"10,953,000                        						
							mt",34,"34,375,000,000                        						
							Cu.M",8,"603,550                        						
							km",46,"2,782                        						
							km",36,"5,581                        						
							km",30,"1,672                        						
							km",48
Ghana,"34,589,092",44,"14,873,310",47,"9,961,658",45,"622,604",38,"15,500",114,0,111,0,135,19,121,0,110,0,93,2,118,5,106,2,62,0,70,10,116,0,105,0,125,"1,824",97,0,111,6,110,6,92,28,72,,,0,43,0,42,0,65,0,46,0,71,0,70,27,43,0,74,"$                        							308,500,000",122,"$                        							22,550,000,000",85,"$                        							229,639,000,000",70,"$                        							3,624,000,000",105,11,130,"14,887,000",43,4,84,52,88,"947                        						
							km",92,"65,725                        						
							km",72,"174,000                        						
							bbl",37,"110,000                        						
							bbl",78,"660,000,000                        						
							bbl",40,"3,192,000,000                        						
							Cu.M",48,"3,912,000,000                        						
							Cu.M",62,"22,653,000,000                        						
							Cu.M",67,"0                        						
							Cu.M",99,"85,000                        						
							mt",100,"0                        						
							Cu.M",106,"238,533                        						
							km",78,"539                        						
							km",78,"2,420                        						
							km",75,"1,293                        						
							km",57
Malaysia,"34,564,810",45,"16,245,461",41,"13,480,276",39,"553,037",45,"113,000",45,"51,600",57,"100,000",25,135,61,26,55,12,44,16,43,31,62,6,40,4,18,45,66,0,118,48,83,"13,506",34,0,121,196,44,36,51,100,36,"67,735",35,0,66,0,66,2,38,0,68,2,43,6,21,71,16,4,34,"$                        							4,800,000,000",50,"$                        							247,500,000,000",34,"$                        							1,152,000,000,000",30,"$                        							113,438,000,000",26,102,50,"17,308,000",37,35,25,"1,750",13,"1,851                        						
							km",77,"144,403                        						
							km",36,"582,000                        						
							bbl",28,"717,000                        						
							bbl",28,"3,600,000,000                        						
							bbl",25,"75,456,000,000                        						
							Cu.M",12,"42,499,000,000                        						
							Cu.M",22,"1,189,000,000,000                        						
							Cu.M",24,"3,731,000                        						
							Cu.M",40,"35,050,000                        						
							mt",21,"226,000,000                        						
							Cu.M",64,"329,847                        						
							km",65,"4,675                        						
							km",26,"2,742                        						
							km",66,"7,200                        						
							km",22
Mozambique,"33,350,954",46,"14,674,420",48,"7,770,772",53,"533,615",47,"11,200",123,0,122,"3,000",106,22,116,8,81,0,113,4,100,1,115,1,74,0,98,8,123,2,73,30,98,872,114,0,126,52,80,6,93,33,65,,,0,71,0,71,0,87,0,72,0,92,0,91,33,38,0,94,"$                        							412,400,000",110,"$                        							12,100,000,000",98,"$                        							50,631,000,000",121,"$                        							3,515,000,000",107,92,55,"15,191,000",42,11,54,36,94,"4,787                        						
							km",40,"31,083                        						
							km",95,"0                        						
							bbl",132,"40,000                        						
							bbl",106,"0                        						
							bbl",125,"5,388,000,000                        						
							Cu.M",45,"1,347,000,000                        						
							Cu.M",82,"2,832,000,000,000                        						
							Cu.M",13,"9,015,000                        						
							Cu.M",31,"11,000                        						
							mt",113,"1,792,000,000                        						
							Cu.M",33,"799,380                        						
							km",34,"2,470                        						
							km",40,"4,783                        						
							km",38,"460                        						
							km",87
Peru,"32,600,249",47,"15,648,120",42,"12,681,497",43,"619,405",40,"120,000",43,"385,000",18,"60,000",32,256,38,15,65,22,33,38,25,72,39,12,29,0,113,111,35,16,36,240,49,"6,560",58,12,84,290,37,49,44,71,42,"170,344",20,0,84,0,84,4,29,0,85,7,25,8,12,13,70,0,101,"$                        							3,420,000,000",58,"$                        							59,400,000,000",55,"$                        							517,644,000,000",49,"$                        							71,394,000,000",36,166,33,"18,529,000",35,20,37,111,65,"1,855                        						
							km",76,"18,699                        						
							km",115,"118,000                        						
							bbl",41,"210,000                        						
							bbl",55,"858,890,000                        						
							bbl",39,"12,270,000,000                        						
							Cu.M",37,"7,185,000,000                        						
							Cu.M",53,"300,159,000,000                        						
							Cu.M",35,"153,000                        						
							Cu.M",71,"712,000                        						
							mt",80,"1,567,000,000                        						
							Cu.M",35,"1,285,216                        						
							km",19,"2,414                        						
							km",43,"7,062                        						
							km",15,"8,808                        						
							km",16
Yemen,"32,140,443",48,"12,213,368",51,"9,031,464",48,"610,668",41,"66,700",62,0,143,"20,000",64,84,78,27,53,12,47,2,121,15,81,0,143,0,143,30,84,7,55,0,145,550,127,0,144,15,99,10,87,33,66,,,0,117,0,117,0,117,0,117,0,117,1,45,12,74,1,54,"$                        							810,375,000",94,"$                        							6,343,500,000",114,"$                        							67,003,300,000",106,"$                        							923,361,750",129,36,106,"6,883,000",68,10,58,30,97,"0                        						
							km",145,"71,300                        						
							km",67,"15,000                        						
							bbl",68,"60,000                        						
							bbl",94,"3,000,000,000                        						
							bbl",27,"189,432,000                        						
							Cu.M",70,"189,432,000                        						
							Cu.M",99,"478,555,000,000                        						
							Cu.M",30,"0                        						
							Cu.M",145,"165,000                        						
							mt",95,"0                        						
							Cu.M",145,"527,968                        						
							km",50,"1,906                        						
							km",50,"1,601                        						
							km",98,"0                        						
							km",143
Venezuela,"31,250,306",49,"15,625,153",44,"12,812,625",41,"625,006",37,"109,000",47,"8,000",84,"220,000",12,229,43,30,50,0,143,49,21,75,36,3,55,1,31,88,40,10,47,172,59,"8,802",45,48,53,100,63,36,52,34,64,,,0,115,0,115,1,42,0,115,1,51,0,117,25,48,0,117,"$                        							4,093,120,000",57,"$                        							110,330,000,000",48,"$                        							295,974,800,000",61,"$                        							10,095,500,000",77,502,16,"11,548,000",51,31,29,272,47,"447                        						
							km",111,"96,189                        						
							km",50,"761,000                        						
							bbl",24,"367,000                        						
							bbl",39,"303,806,000,000                        						
							bbl",1,"17,696,000,000                        						
							Cu.M",34,"17,696,000,000                        						
							Cu.M",40,"5,674,000,000,000                        						
							Cu.M",9,"197,000                        						
							Cu.M",69,"82,000                        						
							mt",101,"730,999,000                        						
							Cu.M",50,"912,050                        						
							km",32,"2,800                        						
							km",34,"5,267                        						
							km",33,"7,100                        						
							km",23
Nepal,"31,122,387",50,"15,249,970",46,"11,733,140",44,"778,060",28,"95,000",54,0,124,"15,000",69,15,124,0,128,0,115,5,88,0,138,0,123,0,101,10,119,0,125,0,136,"1,108",108,0,128,14,100,0,126,0,136,,,0,136,0,136,0,136,0,136,0,136,0,136,0,136,0,136,"$                        							409,100,000",111,"$                        							5,838,500,000",116,"$                        							144,310,000,000",83,"$                        							12,456,000,000",74,51,83,"8,937,000",59,0,133,0,136,"59                        						
							km",125,"27,990                        						
							km",98,"0                        						
							bbl",134,"62,000                        						
							bbl",92,"0                        						
							bbl",127,"0                        						
							Cu.M",127,"0                        						
							Cu.M",134,"0                        						
							Cu.M",126,"15,000                        						
							Cu.M",74,"1,095,000                        						
							mt",74,"8,000,000                        						
							Cu.M",78,"147,181                        						
							km",90,"0                        						
							km",134,"3,159                        						
							km",61,"0                        						
							km",127
Cameroon,"30,966,105",51,"10,528,476",56,"6,224,187",61,"495,458",48,"40,000",82,0,105,"12,500",73,35,104,0,102,0,81,6,80,6,105,2,59,0,52,21,94,0,92,0,119,430,133,18,79,52,79,20,72,51,53,,,0,25,0,25,0,53,0,28,0,61,0,56,51,24,0,64,"$                        							554,952,283",102,"$                        							9,506,000,000",104,"$                        							138,925,000,000",85,"$                        							5,754,093,000",91,37,103,"11,965,000",49,7,66,198,52,"987                        						
							km",89,"77,589                        						
							km",64,"54,000                        						
							bbl",54,"40,000                        						
							bbl",105,"200,000,000                        						
							bbl",52,"2,595,000,000                        						
							Cu.M",52,"877,058,000                        						
							Cu.M",85,"135,071,000,000                        						
							Cu.M",42,"0                        						
							Cu.M",86,"0                        						
							mt",124,"0                        						
							Cu.M",94,"475,440                        						
							km",54,"400                        						
							km",89,"5,018                        						
							km",35,"0                        						
							km",110
Ivory Coast,"29,981,758",52,"12,292,521",49,"7,855,221",52,"569,653",43,"22,000",105,0,114,"5,500",88,19,122,0,114,0,98,4,99,2,111,3,51,0,78,10,117,3,70,5,111,656,121,0,116,2,111,3,96,3,112,,,0,53,0,54,0,71,0,56,0,78,0,77,3,102,0,82,"$                        							669,600,935",99,"$                        							19,311,500,000",89,"$                        							202,758,000,000",76,"$                        							7,583,484,000",84,29,111,"10,954,000",53,5,77,25,101,"660                        						
							km",102,"81,996                        						
							km",60,"29,000                        						
							bbl",61,"60,000                        						
							bbl",93,"100,000,000                        						
							bbl",66,"2,635,000,000                        						
							Cu.M",51,"2,635,000,000                        						
							Cu.M",73,"28,317,000,000                        						
							Cu.M",61,"0                        						
							Cu.M",106,"0                        						
							mt",130,"0                        						
							Cu.M",112,"322,463                        						
							km",67,"515                        						
							km",81,"3,458                        						
							km",57,"980                        						
							km",69
Madagascar,"29,452,714",53,"11,192,031",54,"7,952,233",51,"559,602",44,"13,500",118,0,119,"8,100",84,5,135,0,123,0,108,0,139,0,135,0,118,0,91,5,130,0,117,6,108,158,140,0,120,9,107,0,123,6,104,,,0,65,0,65,0,82,0,67,0,89,0,88,4,98,0,89,"$                        							112,210,000",139,"$                        							3,028,500,000",131,"$                        							51,255,000,000",119,"$                        							2,632,000,000",117,91,56,"15,830,000",40,13,51,29,98,"836                        						
							km",95,"31,640                        						
							km",94,"0                        						
							bbl",127,"19,000                        						
							bbl",125,"0                        						
							bbl",120,"0                        						
							Cu.M",121,"0                        						
							Cu.M",128,"0                        						
							Cu.M",121,"0                        						
							Cu.M",116,"511,000                        						
							mt",84,"150,000,000                        						
							Cu.M",67,"587,040                        						
							km",47,"4,828                        						
							km",25,"0                        						
							km",139,"600                        						
							km",80
Australia,"26,768,598",54,"11,242,811",53,"9,208,398",47,"294,455",70,"57,350",68,"32,050",68,0,120,327,31,24,57,62,12,38,24,98,27,30,9,6,12,69,51,22,29,59,78,"15,648",33,0,98,48,83,0,99,44,58,"185,648",18,0,13,2,5,6,18,3,12,7,20,0,48,10,76,3,38,"$                        							55,700,000,000",8,"$                        							3,427,504,300,000",8,"$                        							1,584,000,000,000",20,"$                        							61,703,000,000",39,"2,180",3,"14,501,000",44,66,12,604,30,"36,064                        						
							km",6,"873,573                        						
							km",9,"386,000                        						
							bbl",30,"1,123,000                        						
							bbl",20,"2,446,000,000                        						
							bbl",34,"153,783,000,000                        						
							Cu.M",7,"50,188,000,000                        						
							Cu.M",16,"3,228,000,000,000                        						
							Cu.M",12,"465,865,000                        						
							Cu.M",6,"107,624,000                        						
							mt",12,"150,227,000,000                        						
							Cu.M",3,"7,741,220                        						
							km",6,"25,760                        						
							km",6,"0                        						
							km",138,"2,000                        						
							km",44
Niger,"26,342,784",55,"7,902,835",65,"5,294,900",65,"447,827",50,"25,000",97,0,126,"5,000",98,26,108,0,131,2,66,7,77,0,139,2,66,0,105,13,111,1,77,0,138,456,132,0,131,0,134,0,129,0,137,,,0,137,0,137,0,137,0,137,0,137,0,137,0,137,0,137,"$                        							336,400,000",119,"$                        							3,844,000,000",126,"$                        							44,561,000,000",127,"$                        							1,442,772,000",125,26,116,"10,237,000",54,0,134,0,137,"0                        						
							km",137,"18,949                        						
							km",114,"6,000                        						
							bbl",86,"13,000                        						
							bbl",134,"150,000,000                        						
							bbl",58,"29,509,000                        						
							Cu.M",83,"29,858,000                        						
							Cu.M",107,"0                        						
							Cu.M",128,"457,000                        						
							Cu.M",65,"457,000                        						
							mt",87,"90,000,000                        						
							Cu.M",70,"1,267,000                        						
							km",21,"0                        						
							km",135,"5,834                        						
							km",28,"300                        						
							km",94
North Korea,"26,298,666",56,"9,467,520",57,"5,312,331",64,"420,779",52,"1,320,000",4,"560,000",12,"100,000",26,861,12,368,5,114,5,1,125,173,14,0,126,0,107,205,23,20,31,"4,344",4,"18,288",28,"1,300",4,700,12,"1,500",4,207,13,"143,304",21,0,78,0,78,13,8,0,79,2,45,4,28,155,4,1,53,"$                        							4,736,000,000",51,"$                        							5,500,000,000",119,"$                        							72,000,000,000",102,"$                        							5,500,000,000",93,83,62,"15,837,000",39,10,56,264,48,"7,435                        						
							km",28,"25,554                        						
							km",101,"0                        						
							bbl",135,"17,000                        						
							bbl",127,"0                        						
							bbl",129,"0                        						
							Cu.M",129,"0                        						
							Cu.M",136,"0                        						
							Cu.M",129,"21,747,000                        						
							Cu.M",20,"21,747,000                        						
							mt",24,"10,600,000,000                        						
							Cu.M",13,"120,538                        						
							km",94,"2,495                        						
							km",38,"1,607                        						
							km",97,"2,250                        						
							km",40
Syria,"23,865,423",57,"15,273,871",45,"13,245,310",40,"668,232",35,"170,000",32,"50,000",58,"50,000",47,207,45,104,20,9,51,3,114,15,80,1,78,0,132,77,49,14,40,365,32,"11,148",39,90,38,641,16,204,22,27,74,,,0,104,0,105,0,108,0,105,0,108,0,109,16,66,4,37,"$                        							291,850,000",124,"$                        							4,309,500,000",122,"$                        							55,935,900,000",116,"$                        							341,962,500",138,39,99,"6,315,000",71,3,97,24,103,"2,052                        						
							km",73,"69,873                        						
							km",69,"75,000                        						
							bbl",47,"138,000                        						
							bbl",69,"2,500,000,000                        						
							bbl",29,"3,085,000,000                        						
							Cu.M",50,"3,084,000,000                        						
							Cu.M",66,"240,693,000,000                        						
							Cu.M",37,"0                        						
							Cu.M",139,"47,000                        						
							mt",104,"0                        						
							Cu.M",141,"187,437                        						
							km",84,"193                        						
							km",102,"2,363                        						
							km",77,"900                        						
							km",71
Taiwan,"23,595,274",58,"12,269,542",50,"1,061,787",129,"306,739",68,"215,000",24,"2,310,000",3,"55,000",38,761,13,285,8,0,137,19,41,232,10,18,22,0,133,236,20,91,8,888,19,"19,921",23,488,12,"1,360",7,234,20,97,38,"250,414",12,0,105,0,106,4,31,4,10,22,2,7,17,37,33,14,9,"$                        							19,740,000,000",23,"$                        							209,000,000,000",39,"$                        							1,257,300,000,000",27,"$                        							492,635,000,000",7,53,82,"11,498,000",52,8,62,465,37,"1,613                        						
							km",81,"43,206                        						
							km",86,"800                        						
							bbl",96,"1,022,000                        						
							bbl",22,"2,380,000                        						
							bbl",92,"63,747,000                        						
							Cu.M",75,"21,157,000,000                        						
							Cu.M",35,"6,230,000,000                        						
							Cu.M",77,"5,608,000                        						
							Cu.M",33,"66,855,000                        						
							mt",15,"1,000,000                        						
							Cu.M",83,"35,980                        						
							km",128,"1,566                        						
							km",57,"0                        						
							km",145,"0                        						
							km",138
Burkina Faso,"23,042,199",59,"8,525,614",61,"6,060,098",62,"368,675",59,"12,000",122,0,103,"4,500",103,25,109,0,100,3,65,2,115,0,123,2,58,0,50,18,101,5,61,0,118,491,130,0,105,8,109,9,88,0,124,,,0,124,0,124,0,124,0,124,0,124,0,124,0,124,0,124,"$                        							81,280,000",142,"$                        							3,145,000,000",130,"$                        							57,152,000,000",114,"$                        							47,138,000",144,49,85,"8,577,000",63,0,119,0,129,"622                        						
							km",106,"15,304                        						
							km",120,"0                        						
							bbl",114,"36,000                        						
							bbl",108,"0                        						
							bbl",102,"0                        						
							Cu.M",101,"0                        						
							Cu.M",115,"0                        						
							Cu.M",101,"0                        						
							Cu.M",85,"0                        						
							mt",123,"0                        						
							Cu.M",92,"274,200                        						
							km",73,"0                        						
							km",121,"3,611                        						
							km",55,"0                        						
							km",109
Mali,"21,990,607",60,"6,817,088",71,"4,288,168",69,"351,850",61,"40,000",84,0,120,"4,800",102,43,93,9,80,12,45,7,75,4,107,1,73,0,92,10,118,8,52,10,106,570,126,0,122,10,106,20,74,0,133,,,0,133,0,133,0,133,0,133,0,133,0,133,0,133,0,133,"$                        							650,386,000",100,"$                        							4,057,500,000",125,"$                        							57,235,000,000",113,"$                        							647,800,000",133,30,110,"8,277,000",65,0,130,0,135,"593                        						
							km",107,"139,107                        						
							km",38,"0                        						
							bbl",128,"46,000                        						
							bbl",102,"0                        						
							bbl",121,"0                        						
							Cu.M",122,"0                        						
							Cu.M",129,"0                        						
							Cu.M",122,"0                        						
							Cu.M",117,"0                        						
							mt",133,"0                        						
							Cu.M",122,"1,240,192                        						
							km",23,"0                        						
							km",131,"7,908                        						
							km",11,"1,800                        						
							km",45
