global_rank,country_name,active-reserve-military-manpower,aircraft-helicopters-attack,aircraft-helicopters-total,aircraft-total,aircraft-total-fighters,aircraft-total-transports,armor-apc-total,armor-tanks-total,border-coverage,coal-consumption-by-country,coal-production-by-country,coastline-coverage,external-debt-by-country,labor-force-by-country,major-serviceable-airports-by-country,manpower-fit-for-military-service,manpower-paramilitary,manpower-reaching-military-age-annually,natural-gas-production-by-country,navy-aircraft-carriers,navy-force-by-tonnage,navy-frigates,navy-helo-carriers,navy-mine-warfare-craft,navy-ships,navy-submarines,oil-consumption-by-country,oil-production-by-country,proven-coal-reserves-by-country,proven-natural-gas-reserves-by-country,proven-oil-reserves-by-country,purchasing-power-parity,railway-coverage,reserves-of-foreign-exchange-and-gold,roadway-coverage,total-population-by-country,waterway-coverage
48,Malaysia,"51,600",0,45,135,26,16,"13,506",48,"2,742                        						
							km","35,050,000                        						
							mt","3,731,000                        						
							Cu.M","4,675                        						
							km","$                        							247,500,000,000","17,308,000",102,"13,480,276","100,000","553,037","75,456,000,000                        						
							Cu.M",0,"67,735",2,0,4,100,2,"717,000                        						
							bbl","582,000                        						
							bbl","226,000,000                        						
							Cu.M","1,189,000,000,000                        						
							Cu.M","3,600,000,000                        						
							bbl","$                        							1,152,000,000,000","1,851                        						
							km","$                        							113,438,000,000","144,403                        						
							km","34,564,810","7,200                        						
							km"
49,Israel,"465,000",48,147,611,240,13,"35,985","1,300","1,068                        						
							km","6,476,000                        						
							mt","0                        						
							Cu.M","273                        						
							km","$                        							148,500,000,000","4,554,000",37,"3,281,513","35,000","131,637","22,886,000,000                        						
							Cu.M",0,"38,238",0,0,0,62,5,"230,000                        						
							bbl","15,000                        						
							bbl","0                        						
							Cu.M","176,018,000,000                        						
							Cu.M","12,730,000                        						
							bbl","$                        							471,030,000,000","1,497                        						
							km","$                        							204,661,000,000","20,391                        						
							km","9,402,617","0                        						
							km"
50,Netherlands,"6,765",12,63,120,32,4,"2,755",18,"1,053                        						
							km","10,610,000                        						
							mt","1,825,000                        						
							Cu.M","451                        						
							km","$                        							4,779,954,300,000","9,999,000",45,"6,486,918","5,000","195,496","17,774,000,000                        						
							Cu.M",0,"124,962",6,0,4,64,3,"872,000                        						
							bbl","70,000                        						
							bbl","3,247,000,000                        						
							Cu.M","132,608,000,000                        						
							Cu.M","137,747,000                        						
							bbl","$                        							1,240,000,000,000","3,055                        						
							km","$                        							69,830,000,000","139,124                        						
							km","17,772,378","6,237                        						
							km"
51,Kuwait,"24,000",16,67,128,43,2,"5,636",367,"475                        						
							km","145,000                        						
							mt","0                        						
							Cu.M","499                        						
							km","$                        							55,000,000,000","2,463,000",6,"1,449,920","7,500","37,660","19,285,000,000                        						
							Cu.M",0,,0,0,0,123,0,"372,000                        						
							bbl","2,910,000                        						
							bbl","0                        						
							Cu.M","1,784,000,000,000                        						
							Cu.M","101,500,000,000                        						
							bbl","$                        							219,060,000,000","0                        						
							km","$                        							52,619,000,000","5,749                        						
							km","3,138,355","0                        						
							km"
52,Singapore,"252,500",18,70,230,100,9,"8,998",170,"0                        						
							km","784,000                        						
							mt","0                        						
							Cu.M","193                        						
							km","$                        							1,713,410,600,000","3,619,000",9,"2,628,408","12,000","66,313","0                        						
							Cu.M",0,"81,340",6,0,4,50,6,"1,470,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							bbl","$                        							754,758,000,000","0                        						
							km","$                        							359,835,000,000","3,500                        						
							km","6,028,459","0                        						
							km"
53,Morocco,"150,000",0,78,260,83,31,"7,877",903,"2,363                        						
							km","11,940,000                        						
							mt","0                        						
							Cu.M","1,835                        						
							km","$                        							45,645,000,000","12,284,000",49,"15,254,135","50,000","635,589","82,595,000                        						
							Cu.M",0,,6,0,0,111,0,"318,000                        						
							bbl","25                        						
							bbl","96,000,000                        						
							Cu.M","1,444,000,000                        						
							Cu.M","684,000                        						
							bbl","$                        							337,480,000,000","2,067                        						
							km","$                        							36,328,000,000","57,300                        						
							km","37,387,585","0                        						
							km"
54,Turkmenistan,0,10,26,91,24,5,"5,016",654,"4,158                        						
							km","0                        						
							mt","0                        						
							Cu.M","1,768                        						
							km","$                        							2,134,500,000","2,163,000",23,"2,245,963","3,500","109,139","86,472,000,000                        						
							Cu.M",0,,0,0,0,16,0,"152,000                        						
							bbl","272,000                        						
							bbl","800,000,000                        						
							Cu.M","11,327,000,000,000                        						
							Cu.M","600,000,000                        						
							bbl","$                        							94,790,000,000","5,113                        						
							km","$                        							23,415,400,000","58,592                        						
							km","5,744,151","1,300                        						
							km"
55,Ethiopia,0,7,33,103,25,8,"7,256",338,"5,925                        						
							km","660,000                        						
							mt","8,000                        						
							Cu.M","0                        						
							km","$                        							25,761,000,000","61,664,000",57,"35,327,989",0,"2,726,657","0                        						
							Cu.M",0,,0,0,0,0,0,"110,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","24,919,000,000                        						
							Cu.M","428,000                        						
							bbl","$                        							354,604,000,000","659                        						
							km","$                        							3,131,288,000","120,171                        						
							km","118,550,298","0                        						
							km"
56,Uzbekistan,0,34,101,192,58,13,"2,970",340,"6,893                        						
							km","7,396,000                        						
							mt","5,356,000                        						
							Cu.M","420                        						
							km","$                        							19,652,500,000","14,270,000",74,"15,959,499","20,000","730,412","47,500,000,000                        						
							Cu.M",0,,0,0,0,0,0,"91,000                        						
							bbl","64,000                        						
							bbl","1,375,000,000                        						
							Cu.M","1,841,000,000,000                        						
							Cu.M","594,000,000                        						
							bbl","$                        							319,174,000,000","4,642                        						
							km","$                        							34,558,000,000","86,496                        						
							km","36,520,593","1,100                        						
							km"
57,Portugal,"211,700",0,31,115,28,19,"10,828",34,"1,224                        						
							km","0                        						
							mt","0                        						
							Cu.M","1,793                        						
							km","$                        							399,395,000,000","5,140,900",136,"4,096,295","24,700","127,677","0                        						
							Cu.M",0,"38,657",5,0,0,194,2,"191,000                        						
							bbl","12,932                        						
							bbl","40,000,000                        						
							Cu.M","72,000,000,000                        						
							Cu.M","22,440,000                        						
							bbl","$                        							529,901,000,000","3,622                        						
							km","$                        							53,710,000,000","136,635                        						
							km","10,639,726","764                        						
							km"
58,Sudan,"85,000",35,64,165,37,13,"2,900",224,"6,819                        						
							km","0                        						
							mt","0                        						
							Cu.M","853                        						
							km","$                        							37,846,000,000","13,590,000",41,"17,108,407","17,500","1,312,149","0                        						
							Cu.M",0,,0,0,0,6,0,"127,000                        						
							bbl","68,000                        						
							bbl","0                        						
							Cu.M","84,951,000,000                        						
							Cu.M","1,250,000,000                        						
							bbl","$                        							136,039,000,000","7,251                        						
							km","$                        							206,763,700","31,000                        						
							km","50,467,278","4,068                        						
							km"
59,Angola,0,15,116,298,71,31,"5,500",309,"5,369                        						
							km","0                        						
							mt","0                        						
							Cu.M","1,600                        						
							km","$                        							45,774,500,000","15,223,000",106,"3,720,206","10,000","372,021","5,514,000,000                        						
							Cu.M",0,,0,0,0,31,0,"127,000                        						
							bbl","1,175,000                        						
							bbl","0                        						
							Cu.M","343,002,000,000                        						
							Cu.M","7,783,000,000                        						
							bbl","$                        							265,868,000,000","2,761                        						
							km","$                        							13,942,000,000","26,000                        						
							km","37,202,061","1,300                        						
							km"
60,Azerbaijan,"300,000",16,86,154,12,3,"7,642",497,"2,468                        						
							km","60,000                        						
							mt","0                        						
							Cu.M","713                        						
							km","$                        							16,159,500,000","5,473,000",32,"3,908,638","15,000","159,754","34,175,000,000                        						
							Cu.M",0,,0,0,4,38,4,"105,000                        						
							bbl","618,000                        						
							bbl","0                        						
							Cu.M","1,699,000,000,000                        						
							Cu.M","7,000,000,000                        						
							bbl","$                        							215,896,000,000","2,944                        						
							km","$                        							13,749,000,000","24,981                        						
							km","10,650,239","0                        						
							km"
61,Romania,"55,000",0,65,140,21,14,"10,774",328,"2,844                        						
							km","19,404,000                        						
							mt","18,160,000                        						
							Cu.M","225                        						
							km","$                        							132,000,000,000","8,282,000",82,"7,731,114","15,000","199,630","9,501,000,000                        						
							Cu.M",0,,3,0,5,20,0,"221,000                        						
							bbl","67,000                        						
							bbl","291,000,000                        						
							Cu.M","105,480,000,000                        						
							Cu.M","600,000,000                        						
							bbl","$                        							772,107,000,000","10,628                        						
							km","$                        							73,000,000,000","84,185                        						
							km","18,148,155","1,731                        						
							km"
62,Bolivia,"40,000",0,33,64,0,15,890,54,"7,252                        						
							km","9,000                        						
							mt","0                        						
							Cu.M","0                        						
							km","$                        							11,431,000,000","6,114,000",200,"4,112,199",0,"233,928","13,760,000,000                        						
							Cu.M",0,,0,0,0,67,0,"87,000                        						
							bbl","58,000                        						
							bbl","1,000,000                        						
							Cu.M","302,990,000,000                        						
							Cu.M","240,900,000                        						
							bbl","$                        							119,785,000,000","3,690                        						
							km","$                        							1,800,000,000","90,568                        						
							km","12,311,974","10,000                        						
							km"
63,Sri Lanka,"90,000",9,55,85,5,14,"3,190",44,"0                        						
							km","2,084,000                        						
							mt","0                        						
							Cu.M","1,340                        						
							km","$                        							46,409,500,000","8,707,000",18,"8,551,235",0,"307,757","0                        						
							Cu.M",0,"27,136",5,0,0,270,0,"121,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							bbl","$                        							287,132,000,000","1,562                        						
							km","$                        							3,450,700,000","114,093                        						
							km","21,982,608","160                        						
							km"
64,Denmark,"12,000",0,34,117,31,4,"3,856",44,"140                        						
							km","1,788,000                        						
							mt","0                        						
							Cu.M","7,314                        						
							km","$                        							555,500,000,000","3,180,000",99,"2,126,436","51,000","77,651","1,879,000,000                        						
							Cu.M",0,"121,180",9,0,6,50,0,"152,000                        						
							bbl","63,000                        						
							bbl","0                        						
							Cu.M","29,534,000,000                        						
							Cu.M","441,000,000                        						
							bbl","$                        							428,385,000,000","2,682                        						
							km","$                        							109,371,000,000","74,558                        						
							km","5,973,136","400                        						
							km"
65,Switzerland,"49,715",0,40,146,43,16,"6,996",205,"1,770                        						
							km","161,000                        						
							mt","0                        						
							Cu.M","0                        						
							km","$                        							2,200,000,000,000","4,991,000",62,"3,163,225","5,000","97,466","0                        						
							Cu.M",0,,0,0,0,0,0,"193,000                        						
							bbl","300                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							bbl","$                        							733,779,000,000","5,296                        						
							km","$                        							863,892,000,000","71,557                        						
							km","8,860,574","1,292                        						
							km"
66,Libya,0,4,16,143,10,6,"1,816",43,"4,339                        						
							km","0                        						
							mt","0                        						
							Cu.M","1,770                        						
							km","$                        							3,322,000,000","2,398,000",66,"3,290,485","100,000","125,141","11,832,000,000                        						
							Cu.M",0,,0,0,1,5,0,"230,000                        						
							bbl","1,245,000                        						
							bbl","0                        						
							Cu.M","1,505,000,000,000                        						
							Cu.M","48,363,000,000                        						
							bbl","$                        							121,951,000,000","2,000                        						
							km","$                        							92,427,000,000","37,000                        						
							km","7,361,263","0                        						
							km"
67,Bulgaria,"3,000",4,27,65,10,6,"4,914",90,"1,806                        						
							km","35,970,000                        						
							mt","35,516,000                        						
							Cu.M","354                        						
							km","$                        							27,138,500,000","3,103,000",111,"2,611,324",0,"61,044","20,837,000                        						
							Cu.M",0,,4,0,10,36,0,"101,000                        						
							bbl","4,000                        						
							bbl","2,366,000,000                        						
							Cu.M","5,663,000,000                        						
							Cu.M","15,000,000                        						
							bbl","$                        							214,061,000,000","4,029                        						
							km","$                        							46,334,000,000","19,512                        						
							km","6,782,659","470                        						
							km"
68,Syria,"50,000",14,77,207,104,3,"11,148",365,"2,363                        						
							km","47,000                        						
							mt","0                        						
							Cu.M","193                        						
							km","$                        							4,309,500,000","6,315,000",39,"13,245,310","50,000","668,232","3,085,000,000                        						
							Cu.M",0,,0,0,4,27,0,"138,000                        						
							bbl","75,000                        						
							bbl","0                        						
							Cu.M","240,693,000,000                        						
							Cu.M","2,500,000,000                        						
							bbl","$                        							55,935,900,000","2,052                        						
							km","$                        							341,962,500","69,873                        						
							km","23,865,423","900                        						
							km"
69,Jordan,"65,000",44,155,274,44,13,"16,624","1,458","1,744                        						
							km","479,000                        						
							mt","0                        						
							Cu.M","26                        						
							km","$                        							25,646,500,000","3,063,000",17,"2,983,464","35,000","145,262","187,262,000                        						
							Cu.M",0,,0,0,0,27,0,"97,000                        						
							bbl","20                        						
							bbl","0                        						
							Cu.M","6,031,000,000                        						
							Cu.M","1,000,000                        						
							bbl","$                        							106,806,000,000","509                        						
							km","$                        							15,715,600,000","7,203                        						
							km","11,174,024","0                        						
							km"
70,Mongolia,"135,000",0,2,7,0,3,"2,560",420,"8,082                        						
							km","6,393,000                        						
							mt","28,276,000                        						
							Cu.M","0                        						
							km","$                        							19,542,500,000","1,403,000",35,"1,552,233","50,000","62,352","0                        						
							Cu.M",0,,0,0,0,0,0,"36,000                        						
							bbl","15,000                        						
							bbl","2,520,000,000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							bbl","$                        							56,264,000,000","1,815                        						
							km","$                        							4,782,000,000","113,200                        						
							km","3,281,676","580                        						
							km"
71,Serbia,"2,000",4,46,110,11,3,"3,683",262,"2,322                        						
							km","38,297,000                        						
							mt","35,129,000                        						
							Cu.M","0                        						
							km","$                        							35,200,000,000","3,333,000",43,"2,574,406","600,000","79,827","353,376,000                        						
							Cu.M",0,,0,0,5,20,0,"82,000                        						
							bbl","13,000                        						
							bbl","7,514,000,000                        						
							Cu.M","48,139,000,000                        						
							Cu.M","77,500,000                        						
							bbl","$                        							162,213,000,000","3,333                        						
							km","$                        							27,569,000,000","44,248                        						
							km","6,652,212","587                        						
							km"
72,Chad,0,3,16,40,0,7,"3,316",90,"6,406                        						
							km","0                        						
							mt","0                        						
							Cu.M","0                        						
							km","$                        							2,038,000,000","5,806,000",42,"3,856,906","5,000","381,872","0                        						
							Cu.M",0,,0,0,0,0,0,"15,000                        						
							bbl","124,000                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","1,500,000,000                        						
							bbl","$                        							32,446,000,000","0                        						
							km","$                        							211,591,000","40,000                        						
							km","19,093,595","12,400                        						
							km"
73,Belgium,"6,400",0,20,108,43,7,"4,606",0,"1,297                        						
							km","4,869,000                        						
							mt","1,270,000                        						
							Cu.M","67                        						
							km","$                        							1,449,264,300,000","5,432,000",49,"3,880,753",0,"119,776","13,436,000                        						
							Cu.M",0,"10,190",2,0,5,9,0,"585,000                        						
							bbl","11,000                        						
							bbl","4,100,000,000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							bbl","$                        							751,592,000,000","3,602                        						
							km","$                        							40,813,000,000","118,414                        						
							km","11,977,634","2,043                        						
							km"
74,Kenya,0,2,85,156,17,21,"4,128",188,"3,457                        						
							km","1,168,000                        						
							mt","0                        						
							Cu.M","536                        						
							km","$                        							30,514,500,000","25,502,000",370,"14,037,377","25,000","931,942","0                        						
							Cu.M",0,,0,0,0,23,0,"119,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							bbl","$                        							314,063,000,000","3,819                        						
							km","$                        							7,342,000,000","161,452                        						
							km","58,246,378","0                        						
							km"
75,Cuba,"40,000",4,13,31,11,4,"6,864",113,"29                        						
							km","2,000                        						
							mt","0                        						
							Cu.M","3,735                        						
							km","$                        							33,066,000,000","5,317,000",123,"4,737,328","1,145,000","142,558","659,434,000                        						
							Cu.M",0,,1,0,4,19,0,"165,000                        						
							bbl","34,000                        						
							bbl","0                        						
							Cu.M","70,792,000,000                        						
							Cu.M","124,000,000                        						
							bbl","$                        							141,400,000,000","8,367                        						
							km","$                        							10,442,000,000","60,000                        						
							km","10,966,038","240                        						
							km"
76,Mozambique,0,2,8,22,8,4,872,30,"4,783                        						
							km","11,000                        						
							mt","9,015,000                        						
							Cu.M","2,470                        						
							km","$                        							12,100,000,000","15,191,000",92,"7,770,772","3,000","533,615","5,388,000,000                        						
							Cu.M",0,,0,0,0,33,0,"40,000                        						
							bbl","0                        						
							bbl","1,792,000,000                        						
							Cu.M","2,832,000,000,000                        						
							Cu.M","0                        						
							bbl","$                        							50,631,000,000","4,787                        						
							km","$                        							3,515,000,000","31,083                        						
							km","33,350,954","460                        						
							km"
77,Mali,0,8,10,43,9,7,570,10,"7,908                        						
							km","0                        						
							mt","0                        						
							Cu.M","0                        						
							km","$                        							4,057,500,000","8,277,000",30,"4,288,168","4,800","351,850","0                        						
							Cu.M",0,,0,0,0,0,0,"46,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							bbl","$                        							57,235,000,000","593                        						
							km","$                        							647,800,000","139,107                        						
							km","21,990,607","1,800                        						
							km"
78,Belarus,"145,000",29,68,185,36,4,"6,916",507,"3,599                        						
							km","778,000                        						
							mt","0                        						
							Cu.M","0                        						
							km","$                        							44,000,000,000","4,956,000",46,"3,724,569","55,000","104,516","73,929,000                        						
							Cu.M",0,,0,0,0,0,0,"131,000                        						
							bbl","30,000                        						
							bbl","0                        						
							Cu.M","2,832,000,000                        						
							Cu.M","198,000,000                        						
							bbl","$                        							254,407,000,000","5,528                        						
							km","$                        							8,118,000,000","86,600                        						
							km","9,501,451","2,500                        						
							km"
79,Ecuador,"118,000",0,46,102,0,20,"5,204",54,"2,237                        						
							km","21,000                        						
							mt","0                        						
							Cu.M","2,237                        						
							km","$                        							44,898,000,000","8,893,000",310,"6,738,074","1,500","329,580","309,778,000                        						
							Cu.M",0,,2,0,0,30,2,"225,000                        						
							bbl","480,000                        						
							bbl","24,000,000                        						
							Cu.M","10,902,000,000                        						
							Cu.M","8,273,000,000                        						
							bbl","$                        							260,213,000,000","965                        						
							km","$                        							4,442,000,000","43,950                        						
							km","18,309,984","1,500                        						
							km"
80,Kyrgyzstan,"300,000",2,7,7,0,0,"2,686",215,"4,573                        						
							km","3,352,000                        						
							mt","3,637,000                        						
							Cu.M","0                        						
							km","$                        							6,728,500,000","3,069,000",28,"2,487,357","55,000","117,270","31,026,000                        						
							Cu.M",0,,0,0,0,0,0,"31,000                        						
							bbl","6,000                        						
							bbl","28,499,000,000                        						
							Cu.M","5,663,000,000                        						
							Cu.M","40,000,000                        						
							bbl","$                        							45,461,000,000","424                        						
							km","$                        							3,237,000,000","34,000                        						
							km","6,172,101","576                        						
							km"
81,Tanzania,"80,000",0,12,39,14,6,"1,072",62,"4,161                        						
							km","802,000                        						
							mt","2,511,000                        						
							Cu.M","1,424                        						
							km","$                        							18,983,500,000","31,219,000",206,"6,678,750","6,500","607,159","1,808,000,000                        						
							Cu.M",0,,0,0,0,12,0,"58,000                        						
							bbl","0                        						
							bbl","1,410,000,000                        						
							Cu.M","6,513,000,000                        						
							Cu.M","0                        						
							bbl","$                        							234,050,000,000","4,097                        						
							km","$                        							5,693,050,000","145,203                        						
							km","67,462,121","0                        						
							km"
82,Paraguay,"168,500",0,14,39,0,11,"1,108",0,"4,655                        						
							km","1,000                        						
							mt","0                        						
							Cu.M","0                        						
							km","$                        							14,370,000,000","3,469,000",83,"3,001,497","15,000","150,451","0                        						
							Cu.M",0,,0,0,0,72,0,"57,000                        						
							bbl","2,000                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							bbl","$                        							108,022,000,000","30                        						
							km","$                        							9,886,000,000","78,811                        						
							km","7,522,549","3,100                        						
							km"
83,Laos,"30,000",0,23,33,0,2,"4,380",160,"5,274                        						
							km","13,691,000                        						
							mt","14,845,000                        						
							Cu.M","0                        						
							km","$                        							16,500,000,000","3,174,000",18,"2,521,277","120,000","159,071","0                        						
							Cu.M",0,,0,0,0,36,0,"24,000                        						
							bbl","0                        						
							bbl","62,000,000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							bbl","$                        							64,173,000,000","422                        						
							km","$                        							1,770,000,000","39,568                        						
							km","7,953,556","4,600                        						
							km"
84,Afghanistan,0,1,6,9,0,3,"5,202",0,"5,987                        						
							km","1,545,000                        						
							mt","4,885,000                        						
							Cu.M","0                        						
							km","$                        							1,142,500,000","8,921,000",67,"8,826,741","80,000","842,553","80,200,000                        						
							Cu.M",0,,0,0,0,0,0,"2,700                        						
							bbl","0                        						
							bbl","66,000,000                        						
							Cu.M","49,554,000,000                        						
							Cu.M","0                        						
							bbl","$                        							54,772,700,000","0                        						
							km","$                        							8,852,092,000","34,903                        						
							km","40,121,552","1,200                        						
							km"
85,Cameroon,0,0,21,35,0,6,430,0,"5,018                        						
							km","0                        						
							mt","0                        						
							Cu.M","400                        						
							km","$                        							9,506,000,000","11,965,000",37,"6,224,187","12,500","495,458","2,595,000,000                        						
							Cu.M",0,,0,0,0,51,0,"40,000                        						
							bbl","54,000                        						
							bbl","0                        						
							Cu.M","135,071,000,000                        						
							Cu.M","200,000,000                        						
							bbl","$                        							138,925,000,000","987                        						
							km","$                        							5,754,093,000","77,589                        						
							km","30,966,105","0                        						
							km"
86,Zambia,0,0,32,77,0,13,424,35,"6,043                        						
							km","823,000                        						
							mt","831,000                        						
							Cu.M","0                        						
							km","$                        							13,200,000,000","7,051,000",119,"4,139,024","1,200","374,384","0                        						
							Cu.M",0,,0,0,0,0,0,"34,000                        						
							bbl","0                        						
							bbl","944,999,000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							bbl","$                        							76,493,000,000","3,126                        						
							km","$                        							2,861,000,000","67,671                        						
							km","20,799,116","0                        						
							km"
87,Tajikistan,"600,000",6,20,25,0,1,"1,240",38,"4,130                        						
							km","2,245,000                        						
							mt","2,175,000                        						
							Cu.M","0                        						
							km","$                        							7,150,000,000","2,677,000",19,"3,773,045","20,000","176,699","18,476,000                        						
							Cu.M",0,,0,0,0,0,0,"28,000                        						
							bbl","300                        						
							bbl","4,075,000,000                        						
							Cu.M","5,663,000,000                        						
							Cu.M","12,000,000                        						
							bbl","$                        							46,467,000,000","680                        						
							km","$                        							2,748,900,000","30,000                        						
							km","10,394,063","200                        						
							km"
88,Oman,"100,000",0,31,128,29,9,"4,084",150,"1,561                        						
							km","31,000                        						
							mt","0                        						
							Cu.M","2,092                        						
							km","$                        							50,897,000,000","2,316,000",36,"1,291,559","10,000","50,726","40,754,000,000                        						
							Cu.M",0,,0,0,0,22,0,"211,000                        						
							bbl","1,056,000                        						
							bbl","0                        						
							Cu.M","651,287,000,000                        						
							Cu.M","5,375,000,000                        						
							bbl","$                        							185,960,000,000","0                        						
							km","$                        							17,455,000,000","60,230                        						
							km","3,901,992","0                        						
							km"
89,South Sudan,0,6,15,20,0,5,"1,950",30,"6,018                        						
							km","0                        						
							mt","0                        						
							Cu.M","0                        						
							km","$                        							2,475,000,000","4,471,000",82,"4,065,188",0,"330,297","0                        						
							Cu.M",0,,0,0,0,0,0,"14,000                        						
							bbl","146,000                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","3,750,000,000                        						
							bbl","$                        							20,010,000,000","248                        						
							km","$                        							183,615,000","90,200                        						
							km","12,703,714","0                        						
							km"
90,Cambodia,0,0,21,25,0,4,"3,627",644,"2,530                        						
							km","2,215,000                        						
							mt","113,000                        						
							Cu.M","443                        						
							km","$                        							13,200,000,000","9,175,000",13,"5,733,393","10,000","307,146","0                        						
							Cu.M",0,,0,0,0,20,0,"73,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							bbl","$                        							85,900,000,000","642                        						
							km","$                        							17,801,000,000","47,263                        						
							km","17,063,669","3,700                        						
							km"
91,Czechia,"4,200",4,42,99,12,10,"6,340",43,"2,046                        						
							km","40,239,000                        						
							mt","37,423,000                        						
							Cu.M","0                        						
							km","$                        							211,200,000,000","5,502,000",243,"4,129,236",0,"97,541","224,725,000                        						
							Cu.M",0,,0,0,0,0,0,"211,000                        						
							bbl","4,000                        						
							bbl","3,595,000,000                        						
							Cu.M","3,964,000,000                        						
							Cu.M","15,000,000                        						
							bbl","$                        							519,007,000,000","9,548                        						
							km","$                        							148,379,000,000","55,744                        						
							km","10,837,890","664                        						
							km"
92,Niger,0,1,13,26,0,7,456,0,"5,834                        						
							km","457,000                        						
							mt","457,000                        						
							Cu.M","0                        						
							km","$                        							3,844,000,000","10,237,000",26,"5,294,900","5,000","447,827","29,509,000                        						
							Cu.M",0,,0,0,0,0,0,"13,000                        						
							bbl","6,000                        						
							bbl","90,000,000                        						
							Cu.M","0                        						
							Cu.M","150,000,000                        						
							bbl","$                        							44,561,000,000","0                        						
							km","$                        							1,442,772,000","18,949                        						
							km","26,342,784","300                        						
							km"
93,Hungary,"20,000",8,44,69,12,3,"7,797",209,"2,106                        						
							km","6,180,000                        						
							mt","5,450,000                        						
							Cu.M","0                        						
							km","$                        							137,500,000,000","5,006,000",109,"3,794,462","15,000","118,269","1,523,000,000                        						
							Cu.M",0,,0,0,0,0,0,"175,000                        						
							bbl","36,000                        						
							bbl","2,909,000,000                        						
							Cu.M","3,738,000,000                        						
							Cu.M","12,100,000                        						
							bbl","$                        							388,906,000,000","7,687                        						
							km","$                        							45,719,000,000","203,601                        						
							km","9,855,745","1,622                        						
							km"
94,Austria,"125,600",0,41,85,15,11,"7,322",56,"2,524                        						
							km","5,026,000                        						
							mt","1,271,000                        						
							Cu.M","0                        						
							km","$                        							630,000,000,000","4,825,000",61,"3,632,033",0,"98,648","618,209,000                        						
							Cu.M",0,,0,0,0,0,0,"245,000                        						
							bbl","18,000                        						
							bbl","0                        						
							Cu.M","5,040,000,000                        						
							Cu.M","35,200,000                        						
							bbl","$                        							590,354,000,000","6,123                        						
							km","$                        							31,212,000,000","137,039                        						
							km","8,967,982","358                        						
							km"
95,Uganda,0,6,30,51,6,0,"3,862",259,"2,729                        						
							km","0                        						
							mt","0                        						
							Cu.M","0                        						
							km","$                        							11,818,000,000","18,881,000",39,"9,905,891","10,000","985,661","0                        						
							Cu.M",0,,0,0,0,0,0,"43,000                        						
							bbl","0                        						
							bbl","800,000,000                        						
							Cu.M","14,158,000,000                        						
							Cu.M","2,500,000,000                        						
							bbl","$                        							135,668,000,000","1,244                        						
							km","$                        							3,506,500,000","20,544                        						
							km","49,283,041","0                        						
							km"
96,Central African Republic,0,0,0,6,0,0,228,0,"5,920                        						
							km","0                        						
							mt","0                        						
							Cu.M","0                        						
							km","$                        							666,293,000","2,114,000",43,"1,254,512","1,000","101,717","0                        						
							Cu.M",0,,0,0,0,0,0,"2,000                        						
							bbl","0                        						
							bbl","3,000,000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							bbl","$                        							5,849,000,000","0                        						
							km","$                        							374,405,000","24,000                        						
							km","5,650,957","2,800                        						
							km"
97,Croatia,"20,100",0,37,67,10,0,"2,848",45,"2,237                        						
							km","702,000                        						
							mt","0                        						
							Cu.M","5,835                        						
							km","$                        							55,000,000,000","1,744,000",40,"1,564,594","2,000","53,952","741,456,000                        						
							Cu.M",0,,0,0,1,30,0,"70,000                        						
							bbl","11,000                        						
							bbl","0                        						
							Cu.M","24,919,000,000                        						
							Cu.M","71,000,000                        						
							bbl","$                        							159,305,000,000","2,617                        						
							km","$                        							3,176,000,000","26,958                        						
							km","4,150,116","4,714                        						
							km"
98,Republic of the Congo,0,1,7,13,2,4,644,30,"5,008                        						
							km","0                        						
							mt","0                        						
							Cu.M","169                        						
							km","$                        							5,741,000,000","2,461,000",56,"1,353,682","2,500","115,856","423,000,000                        						
							Cu.M",0,,0,0,0,4,0,"12,000                        						
							bbl","267,000                        						
							bbl","0                        						
							Cu.M","283,990,000,000                        						
							Cu.M","2,885,000,000                        						
							bbl","$                        							38,163,000,000","510                        						
							km","$                        							715,391,000","23,324                        						
							km","6,097,665","1,120                        						
							km"
