country,active_personnel,aircraft_carriers,armored_fighting_vehicles,attack_aircraft,attack_helicopters,border_coverage_km,coal_consumption_mt,coal_production_cum,coastal_patrol_craft,coastline_coverage_km,corvettes,defense_budget_usd,destroyers,external_debt_usd,fighter_aircraft,fit_for_service,foreign_exchange_and_gold_reserves_usd,frigates,helicopter_carriers,labour_force,major_ports_and_terminals,mine_warfare_craft,natural_gas_consumption_cum,natural_gas_production_cum,oil_consumption_bbl,oil_production_bbl,paramilitary,population_reaching_military_age_annually,proven_coal_reserves_cum,proven_natural_gas_reserves_cum,proven_oil_reserves_bbl,purchasing_power_parity_usd,railway_coverage_km,reserve_personnel,roadway_coverage_km,rocket_projectors,self_propelled_artillery,special_mission_aircraft,submarines,tanker_aircraft,tanks,total_land_area_sq_km,total_merchant_marine_fleet,total_military_aircraft,total_military_helicopters,total_military_manpower,total_naval_fleet,total_population,total_serviceable_airports,towed_artillery,trainer_aircraft,transport_aircraft,waterway_coverage_km
Italy,165500,2,73480,67,37,1836,13127000,1618000,19,7600,0,30890000000,3,2.75E+12,89,22191235,2.47396E+11,10,0,25669000,123,10,68735000000,3117000000,1246000,116000,105000,548684,609999000,45750000000,497934000,3.097E+12,18475,18500,487700,21,64,23,8,8,200,301340,1276,729,392,27434219,196,60964931,636,108,162,30,2400
Ivory Coast,22000,0,656,0,3,3458,0,0,3,515,0,669600935,0,19311500000,0,7855221,7583484000,0,0,10954000,5,0,2635000000,2635000000,60000,29000,5500,569653,0,28317000000,100000000,2.02758E+11,660,0,81996,3,0,3,0,0,5,322463,25,19,10,12292521,3,29981758,29,2,2,4,980
Japan,247150,0,31964,38,119,0,216332000,29141000,6,29751,0,57000000000,42,4.6797E+12,217,42874277,1.295E+12,6,4,69349000,163,22,92843000000,2220000000,3289000,8000,25000,1108818,350000000,20898000000,44115000,5.761E+12,27311,56000,1218772,54,149,141,24,10,521,377915,5229,1443,596,52976836,159,123201945,279,480,401,55,1770
Jordan,100500,0,16624,6,44,1744,479000,0,27,26,0,2500000000,0,25646500000,44,2983464,15715600000,0,0,3063000,1,0,4382000000,187262000,97000,20,35000,145262,0,6031000000,1000000,1.06806E+11,509,65000,7203,56,358,13,0,0,1458,89342,34,274,155,3463947,27,11174024,17,80,66,13,0
Kazakhstan,110000,0,7736,25,12,13364,84852000,118195000,23,26,0,2048700000,0,91321500000,63,6928922,35965000000,0,0,9587000,0,2,22623000000,27011000000,288000,1955000,55000,283640,25605000000,2.407E+12,30000000000,7.0552E+11,16636,135000,96167,287,126,0,0,0,350,2724900,122,198,65,9117003,26,20260006,132,194,26,19,43983
Kenya,50000,0,4128,0,2,3457,1168000,0,7,536,0,1307383850,0,30514500000,17,14037377,7342000000,0,0,25502000,4,0,0,0,119000,0,25000,931942,0,0,0,3.14063E+11,3819,0,161452,0,18,2,0,0,188,580367,26,156,85,21551160,23,58246378,370,53,31,21,0
Kosovo,10000,0,737,0,0,714,8927000,9074000,0,0,0,260715150,0,2750000000,0,743387,1245000000,0,0,500300,0,0,0,0,15000,0,500,17794,1564000000,0,0,23794000000,437,5000,2012,0,0,0,0,0,0,10887,0,0,0,917371,0,1977093,4,0,0,0,0
Kuwait,72000,0,5636,0,16,475,145000,0,106,499,0,6950000000,0,55000000000,43,1449920,52619000000,0,0,2463000,6,0,26083000000,19285000000,372000,2910000,7500,37660,0,1.784E+12,1.015E+11,2.1906E+11,0,24000,5749,27,74,0,0,3,367,17818,176,128,67,1726095,123,3138355,6,0,13,2,0
Kyrgyzstan,23000,0,2686,0,2,4573,3352000,3637000,0,0,0,221800000,0,6728500000,0,2487357,3237000000,0,0,3069000,0,0,438000000,31026000,31000,6000,55000,117270,28499000000,5663000000,40000000,45461000000,424,300000,34000,21,30,0,0,0,215,199951,0,7,7,3147772,0,6172101,28,169,0,0,576
Laos,100000,0,4380,0,0,5274,13691000,14845000,36,0,0,135000000,0,16500000000,0,2521277,1770000000,0,0,3174000,0,0,0,0,24000,0,120000,159071,62000000,0,0,64173000000,422,30000,39568,64,40,0,0,0,160,236800,1,33,23,3499565,36,7953556,18,87,8,2,4600
