country,power_rank,power_index,population,total_military_personnel,active_personnel,reserve_personnel,aircraft,helicopters,tanks,naval_assets,defense_budget,total_assets,assets_per_capita,power_index_rank_gap,budget_per_soldier,budget_per_capita,continent,is_nato
Romania,52,0.9558,18148155,9437041,90000,55000,148,66,451,18,10230630000,683,3.763467966853931e-05,51,1084.0929905888934,563.72837900051,Other,1
Uzbekistan,53,0.9908,36520593,18990708,120000,0,159,101,470,0,6210000000,730,1.9988722527041112e-05,52,327.0020264647321,170.04105053825384,Other,0
United Arab Emirates,54,1.0188,10032213,5818684,65000,130000,581,250,354,84,23480000000,1269,0.0001264925296143533,53,4035.2767051793844,2340.460674030745,Other,0
Czechia,55,1.0313,10837890,5093808,30334,4900,103,42,20,0,9174000000,165,1.5224365628364931e-05,54,1801.0101676388274,846.4747289370902,Other,1
Morocco,56,1.0368,37387585,17946041,400000,250000,271,73,1346,100,16100000000,1790,4.787685537859693e-05,55,897.1338023801461,430.62422994157015,Other,0
Hungary,57,1.0429,9855745,4632200,41600,20000,80,50,220,0,5887250000,350,3.5512282430196805e-05,56,1270.9403739044083,597.3419563919318,Other,1
Kazakhstan,58,1.0433,20260006,9117003,110000,135000,168,72,353,26,5836386000,619,3.055280437725438e-05,57,640.1649752665431,288.07424834918606,Other,0
Angola,59,1.1045,37202061,7440412,107000,0,278,115,319,32,31200000000,744,1.9998891996870817e-05,58,4193.316176577318,838.6632127720021,Other,0
Azerbaijan,60,1.1991,10650239,5218617,128000,306000,159,87,1354,32,5100000000,1632,0.00015323599780249064,59,977.2704147478154,478.86249313278324,Other,0
Belgium,61,1.2201,11977634,4910830,26390,6600,104,14,0,9,14900000000,127,1.060309573660374e-05,60,3034.110323509468,1243.9852478377616,Other,1
Bulgaria,62,1.2522,6782659,3187850,36950,3000,71,23,334,45,2485350000,473,6.973666227360096e-05,61,779.6320404034067,366.4270900247233,Other,1
Serbia,63,1.2938,6652212,3259584,22500,2000,115,51,242,30,2770000000,438,6.584276027282354e-05,62,849.8016924859123,416.4028446477653,Other,0
Democratic Republic of the Congo,64,1.3051,115403027,39237029,166580,30800,56,38,212,16,960000000,322,2.79022143847232e-06,63,24.46668426398951,8.318672611594495,Other,0
Cuba,65,1.3345,10966038,5921661,50000,40000,20,13,194,19,3301500000,246,2.243289691317867e-05,64,557.5293823810583,301.0658908896723,Other,0
