fighterJS,attackJS,transportJS,trainerJS,specialJS,tankerJS,helicopterJS,attackheloJS,tanksJS,afvJS,spgJS,artilleryJS,mlrsJS,accarrierJS,helocarrierJS,destroyerJS,frigateJS,corvetteJS,subJS,patrolJS,mineJS,Country
2.0,0.0,12.0,81.0,0.0,0.0,87.0,10.0,252,18692,49,134,101,0.0,0.0,0.0,4.0,0.0,3.0,33.0,2.0,South Africa
0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,6,158,0,9,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,Madagascar
29.0,10.0,9.0,45.0,4.0,0.0,31.0,0.0,150,4084,24,140,0,0.0,0.0,0.0,0.0,5.0,0.0,12.0,0.0,Oman
1.0,0.0,5.0,1.0,0.0,0.0,13.0,6.0,65,860,23,75,22,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,Eritrea
188.0,21.0,87.0,103.0,10.0,6.0,128.0,13.0,1713,65825,392,2070,1517,0.0,0.0,0.0,7.0,3.0,25.0,21.0,1.0,Iran
16.0,24.0,86.0,72.0,23.0,1.0,257.0,0.0,0,3460,6,110,0,0.0,0.0,0.0,7.0,2.0,4.0,217.0,0.0,Colombia
24.0,62.0,38.0,98.0,30.0,6.0,69.0,22.0,59,15648,0,48,0,0.0,2.0,3.0,7.0,0.0,6.0,10.0,3.0,Australia
238.0,90.0,61.0,345.0,11.0,0.0,348.0,100.0,3620,41012,1056,962,528,0.0,2.0,0.0,13.0,7.0,8.0,62.0,17.0,Egypt
26.0,36.0,15.0,139.0,17.0,0.0,197.0,39.0,1025,37288,434,610,572,0.0,0.0,0.0,0.0,2.0,0.0,26.0,0.0,Iraq
0.0,2.0,7.0,0.0,2.0,0.0,13.0,1.0,0,456,0,0,0,,,,,,,,,Niger
4.0,15.0,3.0,13.0,0.0,0.0,36.0,20.0,109,1306,145,148,100,,,,,,,,,Armenia
0.0,0.0,4.0,2.0,3.0,0.0,10.0,3.0,5,656,0,2,3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Ivory Coast
0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0,650,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,Suriname
0.0,4.0,10.0,0.0,0.0,0.0,21.0,0.0,5,688,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,Guatemala
13.0,0.0,14.0,40.0,0.0,0.0,28.0,6.0,15,828,0,0,0,,,,,,,,,Zimbabwe
24.0,27.0,5.0,9.0,0.0,0.0,26.0,10.0,654,5016,73,450,164,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,Turkmenistan
71.0,12.0,31.0,66.0,2.0,0.0,116.0,15.0,309,5500,25,575,113,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,Angola
9.0,12.0,7.0,4.0,1.0,0.0,10.0,8.0,10,570,0,10,20,,,,,,,,,Mali
11.0,0.0,3.0,14.0,0.0,0.0,7.0,2.0,4,2094,0,25,25,0.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0,Namibia
99.0,16.0,37.0,147.0,27.0,4.0,247.0,30.0,354,8707,165,99,49,0.0,0.0,0.0,0.0,11.0,0.0,34.0,2.0,United Arab Emirates
